quality_1,quality_2,quality_3,quality_4,quality_5
68948.9589041096,157432.479452055,159115.890410959,347429.178082192,735754.561643836
68696.0821917808,154402.410958904,249416.917808219,502855.753424658,911069.356164384
68807.5342465753,155113.397260274,297591.178082192,590804.630136986,1031800.84931507
68939.7534246575,155464.561643836,349862.547945205,680570.630136986,1330821.36986301
68789.1095890411,154921.273972603,375886.602739726,696893.616438356,1392154.01369863
68743,154807.534246575,369075.767123288,697802.589041096,1308791.63013699
68728.4794520547,154839.657534247,375218.506849315,697520.260273973,1351570.60273973
68635.0273972603,154227.054794521,369533.547945206,696415.794520548,1315200.08219178
68664.1643835617,154483.821917808,372183.383561644,696794.273972603,1332577.68493151
68726.9178082192,154430.712328767,381001.02739726,696768.780821918,1393196.75342466
68707.6438356163,154228.876712329,381028.10958904,697322.438356163,1394080.93150685
68708.3287671234,154536.95890411,381416.739726027,699109.424657535,1395884.97260274
68712.7808219178,154269.369863014,381115.027397261,698584.356164385,1395086.54794521
68682.4794520547,154889.438356164,380678.780821918,697813.821917808,1391901.42465753
68678.7397260272,154129.02739726,381222.821917808,697791.027397258,1393827.56164383
68726.3424657537,154365.452054795,383028.698630137,700105.273972604,1399893.20547945
68740.7945205478,153573.945205479,381568.561643835,699051.301369863,1397188.89041096
68727.7945205478,153518.410958904,381005.739726027,699875.219178081,1398427.94520548
68857.2739726028,154034.465753424,381007.602739726,697477.520547947,1392722.46575343
68756.9178082193,154545.287671233,380725.520547944,696362.753424658,1391563.39726027
68707.3424657532,153964.643835616,380974.287671234,697056.08219178,1393908.32876712
68734.0410958906,154039.479452055,380636.753424658,696689.589041095,1390957.24657534
68809.6027397262,154798.931506849,383892.205479451,697643.465753427,1393399.06849315
68817.9589041094,155538.657534247,382630.904109589,698302.712328767,1394503.93150685
68782.2876712328,155188.561643835,380818.87671233,696725.767123286,1392063.97260274
68722.8082191779,154222.356164384,380612.794520548,696275.383561645,1391329.10958904
68744.1506849318,154166.02739726,381057.191780822,697805.520547945,1390044.58904109
68714.6301369863,154895.602739725,383409.575342465,697477.232876711,1389219.23287671
68685.0410958901,155009.506849316,384371.424657535,696540.04109589,1394003.95890411
68755.3835616438,153750.109589041,382921.479452053,698092.561643839,1398777.98630137
68753.2876712331,152941.808219178,382940.84931507,699837.506849311,1397694.47945206
68719.3561643837,154303.602739726,382358.589041097,700179.246575348,1396925.21917808
68784.6164383562,154598.863013699,382867.219178081,699779.821917806,1396310.43835617
68768.5890410962,154809.136986302,385056.80821918,698962.493150685,1404841.94520548
68776.9315068489,154068.287671233,382756.150684929,700589.958904106,1391876.42465753
68737.6712328764,154484.12328767,381129.561643837,697288.890410963,1397140.8630137
68752.3561643842,155520.328767125,382523.712328769,708765.16438356,1414604.91780822
68753.273972603,153730.602739726,380763.356164385,697649.589041103,1393233.75342467
68774.01369863,154225.191780821,383659.726027397,701237.589041092,1394514.28767123
68775.1780821914,154218.383561643,381620.17808219,698206.684931505,1393312.52054793
68830.7945205481,154319.136986302,384297.09589041,697309.493150685,1392509.02739727
68797.4794520549,154765.109589041,382823.424657537,698773.356164385,1396743.94520547
68736.9315068494,154466.383561644,381010.863013696,697650.602739729,1392562.16438357
68760.0273972601,154305.246575342,380670.479452055,696893.904109586,1391459.21917809
68801.8767123288,154477.273972603,381330.98630137,697513.808219176,1393228.64383561
68750.0273972605,155325.287671234,381110.575342469,698743.671232879,1393938.23287671
68673.6438356168,155481.534246575,380660.301369861,700892.97260274,1394236.61643836
68672.958904109,154319.876712328,380829.410958901,700062.534246571,1393266.24657534
68724,153578.246575343,380810.054794524,696336.657534253,1391918.09589042
68771.8493150682,153653.561643835,381160.780821916,697141.479452048,1393603.83561642
68771.3013698631,153974.794520548,381705.164383564,698097.369863011,1395367.60273972
68794.1643835623,154292.082191782,381896.684931505,698354.931506857,1396360.39726029
68844.2876712326,153943.931506849,380913.178082194,696806.273972601,1394154.63013698
68704.1917808214,153689.013698628,380755.602739722,695742.698630132,1390244.13698629
68705.0958904116,154302.904109591,381138.04109589,697606.068493158,1395900.24657536
68692.98630137,153839.01369863,380372.342465758,695670.397260271,1389055.53424658
68781.3561643828,153608.630136985,384066.06849315,697808.287671238,1394459.75342464
68751.2876712335,154348.150684932,381205.931506846,696202.19178082,1390698.0410959
68807.8767123283,153963.83561644,381295.02739726,697506.95890411,1336749.60273972
68775.2876712335,154207.98630137,381109.109589044,698943.01369863,1375781.30136988
68694.1643835614,153958.02739726,379757.05479452,695904.328767121,1390131.69863012
68698.5479452051,153732.12328767,379899.698630136,695718.767123289,1390877.83561644
68728.3424657537,153836.506849315,380459.90410959,696289.726027399,1391400.64383562
68749.6027397262,153728.91780822,380700.12328767,696313.356164373,1393039.6849315
68729.8082191776,153932.616438355,297399.945205476,575112.315068498,1170608.7260274
68726.9452054799,154163.739726027,258492.287671238,542649.369863018,1110788.61643836
68694.7397260275,153452.506849317,307093.89041096,700002.739726029,1401900
68465.2876712326,154009.219178081,220942.452054795,592278.561643831,1179681.23287672
68398.8356164377,156470.589041095,221827.178082187,416036.287671231,814951.917808205
68783.0958904121,154362.986301372,381463.191780824,698125.89041096,1394631.98630138
68702.8356164387,154408.191780822,381260.452054795,697852.767123289,1394525.19178082
65513.7671232866,147655.547945203,367235.342465751,672959.630136982,1345193.78082192
19475.9589041099,44320.6849315073,111042.739726029,203797.643835619,403927.89041096
