quality_1,quality_2,quality_3,quality_4,quality_5
61885.8208955224,148127.23880597,94359.6268656716,257940.373134328,622238.208955224
62036.2686567164,154318.164179104,83083.5671641791,195926.746268657,527341.402985075
63517.7910447761,148493,136687.835820896,293478.194029851,588056.507462686
63737.0298507462,148083.164179104,138576.104477612,292087.537313433,592429.104477612
64735.4925373135,148125.880597015,186875.298507463,393514.089552239,796968.208955224
63935.5970149254,148318.432835821,146535.298507463,313424.925373134,651855.447761193
66197.4626865672,147995.552238806,318341.149253732,611455.76119403,1208308.67164179
66513.7611940299,148190.328358209,365940.671641791,675065.52238806,1343109.10447761
65778.7611940298,150282.283582089,250891.701492537,494206.940298507,933414.567164178
66341.2388059702,150264.432835821,218882.119402985,441958.447761195,839074.985074627
66265.7462686567,149635.373134328,256021.492537314,529036.940298507,1005060.37313433
66995.1194029851,148716.791044776,232464.328358209,455627.208955224,826705.985074626
74192.8059701492,164703.432835821,343319.746268657,645849.701492538,1259827.94029851
