quality_1,quality_2,quality_3,quality_4,quality_5
67196.7741935484,157114.731182796,176719.758064516,338205.860215054,649568.817204301
67933.7634408602,151294,353524.962365591,684524.52688172,1425910.32258065
67968.2688172043,152471.543010753,376352.392473119,687092.451612903,1375482.42473118
67975.4516129032,151832.102150538,288712.768817204,594166.440860215,1066715.15591398
67923.9892473118,151236.5,204498.564516129,425013,795409.731182795
68056.3978494623,154051.317204301,270807.231182796,565184.784946237,1081459.19354839
68005.252688172,152606.440860215,372633.913978494,684395.752688171,1363398.02150538
68041.6935483871,152548.677419355,160585.47311828,339381.516129033,648495.634408603
67952.7956989247,153606.607526882,209268.629032258,420389.97311828,749060.198924731
67925.0537634408,155668.02688172,220874.220430108,464578.059139784,849278.650537634
67880.5645161291,152989.811827957,368394.865591398,676827.607526882,1317137.33870968
67935.1559139785,154434.306451613,378219.252688172,692542.188172043,1376112.80107527
67920.1612903225,152257.838709677,315891.430107527,625403.924731183,1171671.5483871
67905.9247311827,152046.204301075,370888.935483871,681844.333333332,1355710.30107527
67969.301075269,152477.924731183,375712.198924731,686980.064516131,1372237.19892474
67923.3870967742,151400.376344086,316713.413978495,640086.827956988,1187257.5
68332.2849462363,152909.467741936,338915.897849462,685288.913978495,1249964.88709677
67975.8118279572,152456.478494623,306829.833333334,651915.709677421,1215214.9516129
67917.8225806451,151683.247311829,340186.129032258,692658.532258064,1274620.44623656
67764.1666666667,153046.956989247,316887.483870968,628411.596774196,1144888.37096774
67825.7526881723,152064.811827957,262297.5,556848.064516127,1087920.53763441
67942.8924731179,152485.672043011,181701.650537634,394185.225806452,785469.096774194
68138.9462365594,152207.704301076,248868.29032258,554827.580645161,1103481.88709677
67970.1935483871,152028.123655914,259006.301075269,559503.387096774,1089918.24193548
67823.2903225806,154862.317204301,212255.833333333,429548.193548387,813225.89247312
67959.462365591,152399.865591398,250122.284946237,497936.23655914,881586.881720427
67877.5215053766,154465.301075269,251545.881720429,518476.247311829,910918.887096774
68301.9086021504,151907.956989247,303688.096774194,661985.967741933,1306235.62903225
67954.5053763443,152104.586021506,310399.435483871,662456.553763444,1283591.71505377
68009.9247311829,152498.521505376,185152.596774194,380879.284946239,722977.994623654
67032.5806451612,148719.247311828,147111.774193548,296700.026881717,554593.57526882
67887.7311827959,152044.215053763,142872.537634408,307790.661290322,602653.478494622
67879.2688172041,153012.424731182,182730.09139785,385137.39247312,751370.623655915
67946.9247311829,152461.887096775,339185.790322581,640621.564516131,1275599.1827957
68002.435483871,152617.268817205,292936.639784947,592857.102150537,1171994.94086021
67908.5752688171,152806.505376345,356776.102150537,664730.833333332,1326178.52150537
68042.064516129,152112.489247311,378605.677419353,691383.865591399,1381390.94086022
