quality_1,quality_2,quality_3,quality_4,quality_5
67776.2834224599,150005.320855615,144224.812834225,310316.229946524,625881.711229946
67798.7914438502,150641.417112299,241680.631016043,463383.497326203,881610.021390374
67841.6256684492,150328.957219251,190674.828877005,362656.823529412,713119.823529412
67789.9197860962,149955.28342246,163713.631016043,315475.379679145,621802.561497326
67833.5882352941,149637.267379679,177884.957219251,352038.930481283,696128.556149732
67833.770053476,151542.834224599,166504.545454546,340447.406417113,677382.433155081
70685.8502673797,156389.197860962,179551.786096257,360148.818181818,718435.625668448
99830.2406417112,224063.406417112,320241.775401069,637862.090909091,1240467.03743315
53664.5989304814,118945.347593583,122133.994652407,256463.294117647,521195.43315508
66427.6951871656,146900.090909091,137727.684491978,297091.417112299,590527.705882353
67790.4010695189,151216.818181819,218103.235294118,478320.935828877,925613.796791445
67683.4705882352,150277.427807487,262430.422459893,559055.085561498,1083183.09625668
67041.9625668449,150156.390374332,280108.79144385,580763.556149732,1107703.21390374
67723.540106952,151088.71657754,289531.486631016,559119.951871658,1032506.16042781
67758.1283422459,150744.775401069,324612.43315508,606192.716577539,1102245.75401069
67841.1229946525,149908.636363636,329036.577540107,618682.540106952,1127874.3315508
67806.3743315507,150136.203208556,187171.406417113,389299.780748663,763026.556149732
67806.3850267378,150274.625668449,159555.235294117,337046.513368984,667627.524064172
67781.042780749,150477.101604279,147418.711229947,313789.032085562,620465.80213904
67854.486631016,151559.588235294,151945.117647059,302850.663101604,603701.593582887
67440.9893048129,150244.251336899,222915.775401069,422942.165775402,796118.716577541
51884.0855614974,115405.636363636,165519.631016043,321337.347593583,605201.780748662
62912.8877005347,139482.417112299,142162.465240642,301755.593582887,586768.064171121
67767.1283422462,150251.347593583,140781.294117647,302779.165775402,620559.903743319
67771.5187165774,150309.470588236,143952.128342247,301684.737967914,605522.21390374
67796.4171122992,150583.609625668,151108.716577539,301801.096256685,589600.267379679
67790.7486631018,150366.219251337,144680.588235294,305769.92513369,605551.176470593
67165.9144385024,150095.64171123,188276.272727273,373850.406417111,727512.695187163
67568.7486631018,150148.13368984,223085.930481283,430072.909090912,814590.229946528
67829.3101604278,150244.786096256,169496.278074866,338305.625668447,677314.449197859
67968.9037433155,150448.315508021,192568.262032086,369238.262032084,761602.647058822
67884.8716577538,150231.705882353,202980.636363636,377275.614973262,728459.545454547
67820.1978609627,149863.05882353,163498.016042781,318502.192513369,620990.278074868
67828.3636363638,150065.363636363,158172.577540107,299097.657754011,595337.385026734
67840.604278075,150338.379679144,165519.754010694,301552.155080214,596370.716577541
68137.7807486625,150805.294117647,156733.315508022,297341.04278075,602103.101604279
89581.4278074871,200213.598930482,218213.203208556,395559.203208555,800755.593582887
