quality_1,quality_2,quality_3,quality_4,quality_5
67833.861575179,151592.322195704,156150.529832936,329134.202863962,628337.553699284
68401.6038186157,154686.381861575,378225.789976134,691830.143198091,1386228.21957041
68348.4343675417,152814.393794749,378778.883054893,692866.954653938,1385321.23389021
68445.8138424821,152339.331742243,361132.133651552,693484.229116946,1385217.96658711
68430.369928401,152921.634844869,379498.054892601,695761.002386635,1390016.25298329
68466.2434367542,152634.973747017,318758.863961814,693704.935560859,1297808.3770883
68413.0715990454,152743.1575179,377182.653937948,691682.780429595,1380060.02386635
68422.1766109785,152778.806682577,282348.505966587,620107.341288783,1147174.34844869
68334.2863961813,153164.405727924,277853.38424821,612265.310262529,1167145.92601432
68406.2052505967,154171.217183771,369279.618138425,695280.954653938,1381626.34844869
68377.7828162292,154659.971360382,379583.338902148,697149.102625298,1389946.65393795
68339.6563245823,154256.792362768,383001.422434368,696894.61575179,1387847.39856802
68338.2362768495,153549.338902148,378146.634844868,691837.706443913,1384796.88782816
68355.9188544154,153266.754176612,379213.890214799,694169.684964202,1391404.46778043
68389.4033412888,153489.701670644,378068.30548926,691331.026252983,1382174.74940334
68378.6062052507,153342.587112172,378616.009546539,692817.021479713,1384436.24821002
68399.3007159901,152890.701670644,380744.945107399,701228.766109785,1403136.02147971
68406.2291169451,153288.730310263,381098.949880668,691856.706443913,1382167.31742243
68329.9379474944,153331.24105012,381306.618138425,698338.233890217,1397978.06443914
68433.6038186157,153420.906921241,380166.825775657,696177.947494032,1391446.0620525
68290.4463007159,153836.126491647,379142.821002387,699149.24105012,1385707.75417661
68365.8186157516,153182.214797135,380677.627684963,696156.343675416,1391434.52028639
68403.906921241,154408.692124105,379098.794749403,691476.558472555,1386827.6300716
68417.4988066829,152904.429594272,374577.193317423,689768.649164677,1374152.849642
68348.4844868735,153185.298329356,309317.589498807,648608.042959429,1235624.6300716
68407.5656324581,153169.861575178,351223.479713602,697021.451073982,1401976.25298329
68401.9618138426,154465.789976134,377076.572792364,698284.331742246,1395842.88544153
68388.5632458236,154199.207637232,383596.658711219,702353.737470169,1404780.5823389
68385.9284009545,153208.093078759,382872.513126491,702816.224343676,1403040.03579953
68398.568019093,154366.61097852,383412.887828162,702890.763723146,1403727.42243436
68369.0787589501,153946.968973747,377987.82816229,699881.398568023,1399370.39618139
68372.2577565629,154343.112171837,378579.770883054,696491.713603817,1391238.28162291
68367.0357995229,153794.563245825,384295.911694514,703019.985680193,1404355.48210025
68381.7326968974,154295.723150358,382924.334128877,700013.875894986,1399308.23866348
68375.6324582337,153242.362768495,382290.381861575,700532.517899759,1401342.19570405
68329.5751789971,154562.176610978,384821.412887827,702759.608591884,1402995.83770883
68438.1073985682,155182.202863962,382948.181384249,699503.744630072,1399893.39140812
68361.7422434376,155106.639618139,383269.770883057,700905.470167071,1406323.57040574
68407.4176610974,153461.527446301,378782.255369928,692865.801909309,1383884.38424821
68366.5393794752,153672.744630071,385492.935560858,704741.336515509,1405184.82100237
68392.3508353224,153463.455847256,377803.116945108,691116.53221957,1380992.76849642
68380.6109785195,153683.112171837,378422.004773268,693919.689737469,1387567.13126493
68324.0715990458,153103.491646779,380619.451073987,696405.119331747,1391123.82577565
68403.8377088304,152755.36038186,381115.885441527,696769.346062049,1391730.84486873
68448.1145584723,153537.708830549,378417.350835321,692244.558472551,1386081.94510739
68387.7613365161,154110.711217184,379938.243436754,695670.988066826,1392076.96420048
68367.2553699282,153660.336515514,378205.002386637,691610.088305496,1401489.89260144
68409.9665871123,153395.312649165,379235.026252985,694328.59188544,1385597.89976133
68458.579952267,155601.76372315,380173.458233885,701088.458233889,1386440.78281622
68406.77804296,153637.899761337,382756.133651555,699561.073985685,1398054.91646779
68383.8186157513,154195.009546539,383462.441527445,700779.501193315,1402493.5346062
68382.2052505966,153180.983293555,381253.517899763,698308.935560852,1395517.01193316
68372.3054892607,154547.188544154,378755.46778043,692768.252983302,1384038.99761339
68382.3007159899,153275.899761335,381372.930787586,698653.446300708,1397213.71360379
68386.0262529831,153702.553699286,381175.298329357,699233.138424821,1397141.00238664
68428.1909307875,154665.785202863,379785.584725536,704216.372315034,1388574.93078758
68386.6181384251,153931.768496422,382148.477326974,699794.162291177,1388997.45107402
68365.85202864,153846.673031025,381901.398568019,700973.675417662,1398093.97613363
68399.5011933171,153572.093078759,381089.770883054,699271.945107393,1400412.40811457
68376.3723150357,153367.732696898,378398.233890213,695538.758949891,1401301.575179
68407.7517899759,154027.403341288,379882.813842483,695697.622911684,1389561.78520286
68456.544152745,153836.424821004,379964.372315038,695607.436754182,1389358.59665871
68398.704057279,153242.713603817,381183.078758944,699062.033412889,1396393.8973747
68377.7565632463,154030.186157517,382539.58949881,701078.138424814,1401711.74224344
68362.0047732694,154393.806682577,382709.606205247,704820.715990454,1402129.92840095
68365.6324582342,153774.773269691,384458.405727927,703442.362768501,1387004.90692125
68349.5346062044,154388.023866348,380925.5274463,698043.706443913,1396911.76133651
68356.3436754188,154261.852028642,381690.682577565,699507.57995227,1399435.67541766
68367.9737470159,154170.82338902,382640.46300716,698863.696897365,1398472.32458234
68361.9331742246,153613.412887828,381722.195704054,692511.503579952,1394977.70883055
68382.0405727923,153764.248210024,380369.35322196,697881.245823398,1392816.37231503
68392.7255369937,154470.758949881,384100.35322196,702713.18377088,1388243.71360382
