quality_1,quality_2,quality_3,quality_4,quality_5
69827.2053571429,158005.482142857,248148.25,513442.267857143,933863.508928571
69851.4196428571,156405.142857143,143532.946428571,310668.910714286,636497.669642857
69850.4910714286,156224.125,146464.535714286,309755.651785714,601516.125
69800.2410714286,156889.25,154020.767857143,322607.919642857,538013.767857143
69857.0089285714,156389.285714286,216464.508928571,405947.053571429,720348.660714286
69846.8482142857,156337.303571429,243059.830357143,456577.517857143,832430.910714285
69771.5982142858,156418.660714286,183836.848214286,348521.491071429,682582.232142858
69847.3303571428,156547.964285714,286673.383928571,562880.6875,990925.482142857
70028.9375,157617.794642857,342390.294642857,663269.616071429,1140308.35714286
69862.9910714286,158253.616071429,295926.651785714,572372.276785715,1008690.17857143
69793.7857142857,158443.741071429,254815.883928571,475512.544642857,825555.562499999
69762.4642857144,158263.205357143,327845.669642858,620562.598214286,1074700.25892857
69796.0803571427,157074.848214286,376861.705357143,697807.053571428,1204224.55357143
69824.4732142857,156267.455357143,319700.348214285,612883.785714285,1070298.10714286
69782.0089285715,156222.589285714,310984.196428572,607996.964285715,1074264.77678571
69845.4017857142,156116.392857143,349005.749999999,653948.089285714,1177598.84821429
69816.0000000002,156195.571428571,330987.169642858,621183.437500001,1129033.98214286
69722.0892857141,156611.339285715,211157.258928571,415744.919642858,768038.517857142
68720.5267857141,149355.178571428,149449.401785715,318272.580357142,627444.080357142
68876.0267857146,149505.625,153707.633928571,334262.633928571,645628.348214287
69806.9464285714,156052.178571429,150431.401785715,328387.75,644514.696428571
41398.6071428573,92263.9464285714,93427.8303571427,196159.107142858,377076.803571429
