quality_1,quality_2,quality_3,quality_4,quality_5
68115.1493624772,153557.269581056,312140.47723133,602874,1055132.53005464
68282.2222222222,154146.036429873,377565.322404372,692997.927140255,1384634.80145719
68302.0546448087,153531.180327869,378347.763205829,692434.619307833,1382788.96357013
68279.4098360655,152994.510018215,378877.591985428,693299.027322404,1382426.1129326
68451.3387978143,153729.626593807,379921.102003643,695417.76867031,1387715.37340619
68328.6120218579,154280.426229508,378535.825136612,695535.176684882,1388653.81420765
68273.0746812386,153546.672131147,378307.061930783,692595.679417122,1382164.1129326
68346.2076502733,153575.730418943,377657.023679417,693126.695810565,1386171.02367942
68357.5209471766,153048.990892532,375899.373406193,688796.958105647,1375612.07103825
69257.3224043716,160025.591985428,144173.479052824,299799.690346084,597240.892531876
68306.1129326046,153949.007285974,247358.44262295,498039.686703096,922696.389799636
68351.1001821496,154025.209471767,188006.313296903,361416.666666667,673498.794171222
68339.3060109288,152876.684881603,376320.730418943,672208.699453551,1147549.91985428
68179.1948998179,155160.346083789,317067.70856102,631143.238615666,1115809.45355191
68307.723132969,152764.034608379,376975.364298726,691611.083788706,1381233.28779599
68459.0273224043,154660.531876138,330092.914389798,691358.010928962,1380402.55009108
68116.1530054647,158980.530054645,373194.28051002,687635.309653917,1375112.23861567
68317.0273224041,152541.981785063,228660.029143897,554096.990892531,1200125.88342441
68399.4990892534,152154.021857924,193916.746812386,402271.001821494,712686.974499092
68376.0837887067,153175.555555555,267580.364298724,531207.176684881,920802.258652091
68394.5591985427,152537.204007287,263968.205828781,536479.903460838,944350.897996359
68347.3879781421,153130.138433515,343767.311475409,675199.034608377,1178639.58105646
68301.6830601094,152937.302367941,333513.83424408,616934.896174865,1085789.16757741
68292.9180327868,153640.641165756,378913.340619309,693288.768670311,1389754.84153006
68360.5646630235,153829.690346084,380460.245901638,696100.865209468,1413283.24225865
68506.1347905283,153487.406193078,377771.868852459,691059.395264117,1380103.18032787
68355.1530054647,152940.335154828,377949.573770493,693219.744990896,1381793.80692168
68331.9672131145,152798.612021857,360094.02550091,692819.03096539,1333184.22222222
68303.7067395265,153269.109289617,377642.247723131,692242.517304186,1377877.55373406
68225.7194899817,152422.568306011,359435.136612022,694703.479052827,1285664.09836065
68266.3715846997,152953.149362478,379534.648451732,692046.229508199,1386639.29690347
68179.85428051,153825.879781419,375168.83424408,690184.987249546,1377139.52276868
68343.3205828778,153293.916211293,330330.861566482,680915.30783242,1330104.55191257
68390.7285974501,153538.70309654,287974.040072862,545096.746812388,990187.803278685
68376.9307832425,153430.154826958,372753.387978142,692252.459016394,1365972.36794171
68315.0892531872,153857.628415301,374472.932604734,687374.94717668,1368870.287796
68350.8925318765,152569.670309653,304618.009107471,591587.768670309,1111376.55555555
68283.1293260474,152825.183970856,312788.112932604,632836.284153011,1251801.61020037
68369.8633879782,153376.965391622,379327.795992715,693622.34608379,1383343.64298725
68281.3843351547,153007.012750455,364730.546448087,672308.998178501,1338799.96357013
68395.628415301,153780.424408015,208029.357012752,442011.187613845,844677.375227682
68352.3315118393,153532.56830601,380206.987249542,693047.901639342,1383721.24590164
68379.0837887065,153019.58287796,375559.149362477,689142.555555556,1374647.01639344
68259.4681238616,153578.473588343,321482.233151184,658989.122040074,1290788.8888889
68286.284153006,152979.70856102,361441.693989072,693605.737704922,1383489.143898
68399.9890710381,152527.406193078,355231.315118397,693682.972677592,1385399.89435337
68278.9890710381,153541.841530056,375978.510018215,692391.954462659,1379011.47176685
68318.6448087431,153619.096539161,353817.639344262,695277.111111112,1337076.38251366
68303.524590164,153954.959927142,379049.136612024,693727.652094718,1382117.95992714
68317.8506375225,153321.220400727,378176.411657559,692297.358834241,1379231.60291439
68321.9963570125,153117.420765026,382038.593806919,698528.983606555,1393456.1147541
68303.8761384338,153127.340619308,375492.688524593,690215.87249545,1369178.79052824
68327.475409836,153885.896174864,353287.888888884,680928.568306014,1264276.55555555
68218.5063752285,153157.588342442,362299.209471773,692487.690346085,1354371.32604737
68239.371584699,153867.459016393,378739.016393442,693403.633879781,1382658.424408
68300.7030965388,154435.267759563,381362.080145717,698312.990892537,1381552.41530056
68262.5646630242,153533.546448087,378139.001821499,695286.211293258,1388340.01821494
68273.3406193079,153105.519125683,378144.284153003,692172.382513657,1381637.90163934
68251.6575591983,153051.244080145,373717.125683058,687296.601092897,1363257.02185792
68233.1876138435,153408.925318763,316478.25136612,606070.765027322,1112310
68494.5828779596,155974.856102003,193543.66302368,362731.51730419,698310.142076492
68278.5901639345,155062.95446266,374592.327868853,689841.54098361,1399215.51912569
68224.6575591993,153232.670309654,330705.26593807,654866.586520948,1302227.36065574
68269.1730418941,153112.185792349,181866.378870673,356197.060109288,665594.0291439
68288.743169399,152761.867030965,147562.349726778,314311.520947181,644358.615664855
68366.3023679415,153029.034608379,149688.801457193,306663.61020036,624731.956284136
68330.9362477232,152959.836065574,146529.429872494,312289.666666672,631883.825136617
68524.5245901635,153704.590163935,149360.36065574,322904.327868849,650356.233151183
68319.5719489986,153055.267759562,165588.10018215,341765.934426233,681259.198542818
68285.8834244078,153142.240437157,292841.839708555,549322.131147534,979065.136611998
68320.4426229503,153838.276867034,297154.468123864,564973.030965388,1016398.6885246
68282.9143898003,153152.061930781,382288.648451727,701224.324225865,1402196.93989071
68269.0965391621,152879.876138434,378136.848816037,691988.741347916,1379901.30054645
68388.4480874315,153644.091074681,379808.189435333,695536.830601089,1388480.23679417
68296.6302367942,152890.846994536,378517.759562843,692709.744990893,1382777.140255
68434.9253187608,153372.284153005,380514.732240435,694507.788706735,1386418.63387977
68367.3442622963,154230.258652097,380574.213114761,692099.843351558,1382554.17486341
68359.9708561013,154089.5992714,379491.912568301,694434.094717667,1386453.33333333
68366.7577413488,153525.466302371,378386.637522772,695184.211293258,1386137.46448088
