quality_1,quality_2,quality_3,quality_4,quality_5
68232.1875,153557.8125,378248.4375,693565.3125,1382216.25
68185.8125,154089.8125,378641.3125,693150.5625,1385117.75
68144.3125,152773.375,378041.3125,692176,1381089.4375
68227.6875,153189.75,378953.4375,693219.375,1382365.3125
68192.9375,153693.8125,379482.6875,692848.3125,1383251.4375
68039.0625,153727.8125,379928.4375,694602.1875,1385492.8125
68059.1250000001,153278.8125,378942.1875,692870.25,1382782.5
68186.3749999999,153966.8125,378512.1875,697757,1384064
68198.1875,154042.0625,378427.3125,697525.125,1383600.6875
68174.8125,153031.3125,378133.3125,691272,1381330.6875
68229.6875000001,153029.0625,378341.5625,692585.625000002,1383816.5625
68215.3124999999,153179.0625,378428.8125,693108.499999998,1382379.8125
68164.3124999999,152721.375,378986.0625,693036,1381881.375
68243.9375000002,153785.875,379832.1875,692187.875,1382870.25
68206.75,153556.25,378466.625000001,692294.062500002,1382722
68152.4999999999,153390,377833.124999999,692267.812499998,1379998.125
68221.875,152388.75,378575.625,692188.125000002,1380184.6875
68186.0000000002,153412.5,377996.375,691489.874999998,1381043.0625
68197.2499999998,152916.0625,380444.5,692098.125,1389389.4375
68203.125,154233.1875,379284.75,693003.375,1383892.3125
68229.5,153505,379776.3125,694742.3125,1383589.5
68272.5,153453.125,379114.0625,695467.8125,1380438.125
68227.5,153080.0625,378575.0625,693574.3125,1379715.5625
68163.25,152609.3125,378201.3125,691321.5625,1379839.3125
68220.125,152662.25,378751.25,691924,1381282.625
68210.625,154219.875,364751.25,692058.75,1357332
68070.9375000005,155075.625000001,277719.6875,564297.5,1087987.1875
68319.0624999995,152671.249999999,141272.8125,288486,565678.9375
68867.625,153588.75,124773.5625,236905.6875,440233.3125
68450.7500000002,156170.75,140236.1875,303333.062500004,623983.4375
68283.4374999998,152690.062500001,148215.9375,306453.687499996,627471.3125
68318.4375,152918.437499999,148150.3125,310022.8125,614592.1875
68233.125,153927.1875,295480.312500002,574256.25,1026765.9375
68167.5,153629.6875,269191.812499998,565839.625,967523.1875
67912.5625,154691.5,275999.6875,570515.625,980284.1875
68134.3125,153857.625,264787.6875,528459.75,947835.1875
68141.625,153223.1875,288641.1875,588424.6875,1064499.625
67833.75,153947.8125,289404.6875,563829.0625,1049661.25
68010.375,153495.1875,291342.1875,595999.875,1053132
68153.25,152766.3125,248708.4375,524869.125,892072.125
68167.25,152830.1875,219783.125,444187.125,780232.25
68220,152996.0625,277259.625,553844.625,989454.375
68174.3750000005,152673.125,318284.6875,648446.25,1116061.56250001
68196.1249999995,152347.375,273493.8125,565346,916412.562499993
68229.375,153310.3125,292182,598361.4375,989692.875
68233.6250000005,154913.812500001,323419.000000002,675112.562500004,1192122.625
68233.375,153258.187499999,316016.25,677238.624999996,1129216.8125
68184.3749999995,152738.4375,234877.499999998,474009.375,810278.4375
68189.0625000005,152635.312500001,285739.687500002,600726.562500004,1060369.6875
68224.9375,152644.0625,227906.562499998,468385.437499996,835696.812500007
68225.0624999995,154515.874999999,274032.8125,538018.8125,1024894.37499999
68192.4375,153111.75,330579.937500002,660447.187500004,1199734.87500001
68158.9375000005,152695.625000002,258970.625,530685,881422.437499993
68235.3124999995,152936.249999998,219360.624999998,436633.124999996,784783.4375
68227.5,152825.8125,287462.625,585274.6875,1049383.125
68253.25,153011.8125,272893.625,554229.1875,992646.750000007
68189.375,153819.875,271370.25,550011.6875,996518.625
68162.625,153654.375,284618.625,587779.3125,1042204.49999999
68273.7500000005,152651.5625,219516.5625,452642.1875,793937.500000007
68204.9999999995,152965.437500002,230192.5625,465222.5625,815031.624999993
68272.3125,153900.937499998,214151.25,402784.6875,719357.25
68407.8124999991,156330.0625,179683.125,333703.5625,622833.875
69350.1875000009,153511.249999998,144181.8125,316337.8125,628810.25
68438.4375,163950.000000002,143170.3125,292857.1875,559246.875
68377.4999999991,152870.624999998,150417.187499996,299864.0625,599139.375
68339.8750000009,152910.875000002,154067.687500004,300486.1875,585974.125
68325,152800,140471.25,295582.5,593738.875
68344.875,152718.75,141148.875,293189.25,599945.625
69336.875,155445.9375,143521.875,295220.5,601207.875
68755,155801.5625,163458.125,310141.875,619141.25
68259.375,153948.9375,261680.8125,515021.8125,891930.1875
68220,154100.3125,288056.1875,582140.8125,947754.6875
68229.1875,154422.75,235473.5,475692.6875,770774.5625
68247.5625,153953.25,253057.875,512106.9375,857054.4375
68200,153858.4375,281109.6875,566866.5625,965687.5
68171,152729.8125,234468.9375,455838.8125,795065
68259.7499999991,153045.9375,308399.8125,594199.6875,1058134.5
68349.0000000009,153698.8125,260421.8125,517062.562499993,853885.5
68214.5625,154288.6875,329270.25,645998.9375,1070112.625
68243.4375,153640.3125,235933.125,482402.812500007,771196.875
68301.5624999991,154191.562499998,244745.625,480057.187499993,829476.5625
68206.1875000009,153201.937500002,343136.75,684055.562500007,1154758.68749999
68265.1875,152701.4375,201816.8125,408106.9375,712680.062500015
68296.3125,152766.5625,214762.3125,409826.0625,703433.4375
68214.9375,152706.5625,263091.25,525020.8125,847868.3125
68201.5625,152210.3125,274638.75,539707.8125,923731.5625
68223.5625,152884.125,307586.25,618006.1875,1008956.8125
68247.6875,153010.5,280490.25,567401.4375,923769.5625
68230.625,152583.9375,276687.5,558843.0625,918823.625
68185.125,152757.5625,330106.125,673639.6875,1093155.375
68173.125,153137.1875,335403.749999996,688355.624999993,1098023.75
68181.875,153459.8125,319299.125000004,678761.875000007,973568.25
68189.25,153685.3125,301579.5,662760.9375,963234
68205.75,153236.9375,273636.375,576996.6875,847667.5
68214.5,152836.125,303369.875,650122.4375,966139.125
68268.75,154243.125,179883.75,337024.6875,613869.375
68270.625,153394.6875,301766.25,618029.0625,1018902.18749999
