quality_1,quality_2,quality_3,quality_4,quality_5
61219.5081967213,143330.901639344,350156.147540984,628699.590163934,1264799.83606557
40986.5245901639,92913.1147540984,227531.639344262,413277.918032787,824856.950819672
76387.0819672131,171270.459016393,423852.229508197,775269.409836066,1546075.49180328
73469.0819672131,166415.37704918,388699.852459016,741917.37704918,1399748.49180328
79405.6393442623,178524.213114754,429349.704918033,805362,1556910.21311475
80386.4754098361,179057.704918033,443084.590163935,814536.639344263,1598354.18032787
76351.1475409836,170759.901639344,417325.639344262,771747.704918033,1517128.16393443
84329.7049180327,189795.62295082,433651.147540984,806248.606557378,1638492
73294.4918032787,163624.114754098,267860.278688524,521381.770491803,989533.016393442
88972.2786885246,197975.606557377,364258.377049181,703306.032786885,1352426.52459016
61431.393442623,136235.901639344,203423.360655738,423557.704918033,825322.786885245
48695.3278688524,108653.114754098,119005.327868852,247750.327868853,513704.754098361
58884.0819672133,130783.68852459,267901.032786886,527396.081967215,982058.36065574
74348.2295081967,165326.491803279,351567.704918033,682596.606557375,1258506.75409836
78091.1803278689,172423.508196721,409169.491803279,763183.62295082,1475292.54098361
70557.3278688523,156251.393442623,396605.803278688,723576.950819671,1442362.44262295
65915.2459016393,147824.098360656,359591.475409836,666111.721311476,1331264.59016393
71115.2131147543,160235.557377049,365564.540983607,719026.44262295,1448300.3442623
73032.4590163932,165833.934426229,337363.049180328,732697.770491803,1485291.67213115
62346.9016393446,139944.475409836,289584.524590163,575970.327868853,1052539.31147541
61663.1147540982,137367.459016393,330575.24590164,623744.18032787,1229536.72131148
61615.4590163932,138354.016393443,346934.540983607,636098.721311476,1269010.72131147
61554.9180327873,136790,341021.311475409,621967.622950818,1248925.08196721
55993.4262295079,125153.606557377,283785.114754098,572393.213114755,1136528.08196721
