quality_1,quality_2,quality_3,quality_4,quality_5
68010.1657458564,152166.629834254,237997.790055249,464200.110497238,863350.607734807
68204.9889502762,152061.801104972,372029.232044199,680696.160220995,1287603.35359116
68146.0883977901,152487.038674033,372556.740331492,681877.116022099,1361332.79558011
68061.3149171271,151191.215469613,372716.585635359,681882.662983425,1274854.02762431
68254.3646408839,151481.303867403,155015.1160221,325808.508287292,659685.060773481
68139.8618784531,151257.320441989,312071.85082873,603623.370165747,1088651.93370166
68098.9723756906,150730.640883978,173455.292817679,330644.685082873,631407.613259669
68185.6132596685,150862.767955801,147730.950276243,300711.812154696,602563.729281767
67363.3812154696,150710.143646409,143678.961325967,305403.580110497,618930.121546961
68134.6243093923,150596.950276243,193296.281767956,370358.353591161,687467.983425414
68139.6685082873,151968.287292818,193838.011049724,379002.541436464,704689.337016575
68145.8618784531,150888.690607735,206559.801104972,402230.29281768,744904.14364641
68498.1878453038,151601.171270718,199837.657458564,390829.723756906,736167.911602208
93935.917127072,208526.033149172,264051.348066298,522037.209944752,977377.801104974
70386.8287292816,155583.878453039,151883.204419889,326624.806629834,652048.099447513
68181.961325967,152222.320441989,180322.790055249,339791.767955801,639720.497237569
67376.2651933704,150721.104972376,179705.038674034,343500.022099447,631923.182320444
68144.6408839778,151103.679558011,166857.425414364,325505.364640883,614939.502762429
68188.17679558,151842.232044199,175069.790055248,333848.386740332,625473.845303867
68176.9779005526,151035.624309393,231979.287292818,437896.8839779,799639.646408839
68133.8121546961,151195.801104972,223039.116022101,423793.812154697,748871.270718234
68174.1878453039,151378.17679558,242300.022099447,454734.712707182,805812.56353591
68182.8397790056,151002.464088399,198513.027624309,368525.049723756,667049.43646409
68060.9005524861,150950.872928176,168981.016574586,319556.298342543,605301.701657459
68082.629834254,150753.149171271,195774.165745857,375677.436464088,689416.243093919
67365.1104972374,150754.337016575,233605.276243092,439374.392265191,779452.513812155
68037.9668508288,150710.950276243,190512.265193371,373599.337016577,679874.751381215
68142.5303867403,150831.248618785,197726.022099448,386180.353591161,707071.425414369
68197.922651934,151095.779005525,203641.14917127,393901.900552487,723443.558011051
68168.1823204416,150900.066298342,195807.756906077,379591.502762428,698897.668508284
68168.6187845306,150969.944751381,218805.082872927,423504.696132598,767883.480662983
67408.8121546963,150859.79005525,244853.138121547,466131.67403315,842588.000000004
68097.5027624308,151370.895027624,291244.309392266,560483.491712706,999879.933701657
68231.1215469614,150909.961325966,170467.491712707,353509.906077348,677675.386740331
67865.8895027624,151006.187845304,192590.950276243,376990.928176794,705222.331491712
64970.7458563535,145278.812154697,158517.845303868,311399.723756908,610605.939226519
