quality_1,quality_2,quality_3,quality_4,quality_5
64166.2662337662,141852.37012987,235660.779220779,439690.844155844,753706.233766234
42990.8896103896,94632.1103896104,109785.714285714,196725.961038961,402318.441558442
62001.1168831169,137381.454545455,132868.454545455,271038.415584416,548396.246753247
86211.4805194805,191921.571428571,182282.48051948,404418.155844156,832310.896103896
76846.2857142857,170449.779220779,164030.75974026,353752.337662338,722539.928571429
70737.6623376623,158516.168831169,152183.409090909,330083.766233766,651488.603896104
74864.7987012988,168158.181818182,170931.766233766,342346.655844156,683655.467532467
89209.9285714285,199553.623376623,197796.558441559,415384.032467532,825874.493506494
72415.6753246753,161649.662337663,166270.097402597,342612.25974026,660640.207792208
68099.103896104,154950.805194805,157584.279220779,314634.909090909,605894.337662338
91012.0779220779,207402.987012987,225164.772727273,477240.876623377,922949.285714285
83373.9220779222,186198.246753247,242249.474025974,488047.681818182,933070.610389611
75754.1168831167,169438.779220779,178759.006493506,344773.415584415,687686.551948052
68320.5844155845,152762.25974026,150013.448051948,321994.142857143,620691.876623377
85111.7987012987,188722.279220779,183847.720779221,373193.402597402,745443.785714285
78663.7987012989,175641.071428571,143410.032467532,280103.701298702,584282.045454545
64756.5779220776,144437.253246753,136848.545454545,290758.87012987,585013.467532467
80342.2402597405,179597.564935065,201738.311688312,365462.142857143,718109.675324677
66250.8116883119,149040.337662338,141791.025974026,301613.025974027,600505.850649349
64777.9805194803,143762.571428571,140679.233766234,296213.961038961,605417.798701299
74662.1558441559,167029.831168831,160282.220779221,345954.305194804,695434.785714285
55409.1558441557,123326.233766234,115638.051948052,249488.279220779,496713.40909091
61118.6558441559,135573.324675324,134317.597402598,284278.000000002,566712.805194804
79519.3831168832,176023.714285715,173075.311688311,362630.519480519,732292.831168832
78079.9675324676,173556.597402597,165895.512987013,342445.824675323,701017
71656.6168831165,159549.584415585,157285.487012987,331596.746753246,659061.909090906
84846.7857142857,188576.688311689,273096.363636363,577506.558441561,1090876.26623377
86830.525974026,193197.311688311,368790.857142856,747757.571428569,1364878.18831168
65926.9545454551,146917.038961039,296822.597402599,570734.201298703,984345.805194806
67264.6428571423,150693.246753247,259892.61038961,512848.084415585,893242.506493509
63156.9155844161,142612.01948052,225339.038961039,442844.123376625,782980.227272727
55526.7857142854,123300.227272728,219603.506493507,431284.383116882,756581.136363637
13801.4090909092,25592.4610389611,30078.5454545449,48650.1298701297,88543.8961038962
63869.0974025978,143748.551948052,190365.701298703,369962.246753249,694585.038961045
69684.74025974,154780.909090909,191274.772727272,382041.103896102,718229.253246747
64692.5454545459,145095.818181818,110083.279220779,206394.883116882,406269.5
64535.6493506487,142882.311688311,137919.175324676,306527.149350651,622777.805194806
64584.220779221,142660.909090909,148333.668831169,310294.318181818,686222.012987014
64550.766233766,142715.506493507,146476.681818182,320552.253246753,692285.051948052
63969.2337662335,142745.31168831,135574.383116883,286251.772727273,639587.922077924
64280.7402597405,143096.045454546,139354.025974026,283164.285714285,641930.584415581
64573.7532467535,142981.006493508,141325.376623377,288407.064935064,654552.8961039
64568.5064935065,142966.623376623,141840.12987013,290351.038961042,661204.090909086
64570.5324675324,142937.077922077,141716.805194804,305142.740259737,655579.701298699
64566.4285714286,142748.448051949,143232.129870131,314765.480519483,659147.701298706
64282.7922077924,142792.915584415,148402.727272728,310629.896103896,692405.519480519
63938.7987012989,142768.045454547,145538.441558442,317087.681818182,695335.162337661
64556.2662337655,143072.24025974,145544.415584415,320898.603896104,681520.032467533
64542.993506494,142835.012987013,146840.623376624,318612.240259741,693339.883116882
64590.4220779217,143004.727272727,151057.246753246,307206.474025972,683258.16883117
64615.5519480519,143295.227272727,149708.779220779,301292.077922076,670884.025974028
64578.6688311691,142778.863636364,142580.194805197,315017.207792211,639736.233766228
64574.1558441557,143056.863636363,136854.116883116,306569.798701297,615903.149350651
64562.1428571427,142701.655844155,148781.363636361,302457.954545453,669393.344155841
64597.7077922085,142832.142857146,151080.246753249,302971.584415589,687360.493506499
63932.3051948049,143029.337662337,151228.506493505,310346.129870128,699724.493506499
64336.7077922071,142908.792207792,147867.753246754,323377.688311689,672178.337662339
64565.9545454551,142713.714285713,145243.441558441,315244.259740256,681091.961038955
64542.6623376627,142798.603896104,145526.03896104,304122.72727273,687896.81818182
64380.532467532,143002.162337663,145879.883116882,310396.623376627,682735.909090906
61050.4610389615,136650.545454547,136159.318181818,299143.597402595,630927.045454547
