quality_1,quality_2,quality_3,quality_4,quality_5
68150.1234567901,152569.87654321,226221.234567901,414422.716049383,741756.049382716
68392,153109.222222222,144153.888888889,312210.37037037,571683.679012346
68454.7654320988,152691.382716049,144481.506172839,314100.098765432,526658.790123457
68386.9012345679,152699.506172839,140660.839506173,310224.308641975,635320.62962963
68355.1111111112,152606.419753087,175161.925925926,307186.814814815,619131.456790123
68220.2469135802,153182.962962963,150549.567901235,322008.209876543,649864.50617284
68425.1358024692,154442.271604938,168702.296296296,315614.641975309,611870.790123457
68244.1975308642,153212.814814815,346744.518518518,619412.691358024,1086752.95061728
68244.7407407408,153583.209876543,223225.777777778,399639.703703704,717486.814814815
68218.8641975308,153178.333333333,317400.87654321,573029.123456791,1014556.80246914
68217.901234568,153279.012345679,279529.50617284,503534.938271604,892194.814814815
68325.6049382716,152808.506172839,229523.432098765,418239.641975309,749451.75308642
68153.8271604938,154928.543209877,188275.012345679,338948.49382716,628763.555555556
68089.0617283951,154060.086419753,254756.395061728,454860.283950618,802070.037037037
68168.5185185185,153079.703703703,359711.037037037,645171.11111111,1125537.77777778
68173.024691358,152336.049382716,308625.555555556,553878.827160495,977313.518518517
68262.3209876544,153479.703703703,214142.222222222,389275.061728395,691557.925925925
68213.8765432099,152996.839506173,258962.074074074,469677.296296297,835099.370370371
68152.4691358025,152666.197530864,226931.530864197,409863.333333332,721050.691358026
68175.6419753085,152625.555555556,187534.209876543,338527.160493828,628468.888888888
68237.777777778,152618.024691358,161125.925925927,331402.469135802,666147.160493826
68208.197530864,152583.518518519,196830.469135802,368425.049382716,671688.469135802
68114.2716049382,154153.604938271,212895.432098765,380458.395061728,683709.975308642
68164.4567901236,154455.913580247,222384.50617284,401614.814814815,721140.851851851
68208.2962962962,153202.666666667,216609.481481481,396752.49382716,722292.345679015
68180.7407407409,154202.037037037,187837.222222222,342169.691358024,646209.012345679
68221.2592592593,154475.037037037,203720.88888889,375267.259259259,675821.382716049
68254.4444444443,153807.75308642,210095.382716049,389380.716049382,692882.296296299
68252.6419753088,153711.50617284,280580.098765432,520147.50617284,904792.987654321
68334.8765432097,152968.592592592,316207.444444445,575096.555555554,996709.308641974
68288.1481481483,153583.209876544,251796.296296297,460882.839506175,808798.518518519
68214.1728395061,153122.037037036,235488.259259259,443245.197530862,793375.901234567
68199.3086419753,152567.308641976,267129.481481481,493382.518518521,858110.617283948
68176.2345679016,153373.580246913,309417.827160493,551317.888888886,944775.197530866
68143.2345679011,154415.234567901,312516.345679012,551770.716049384,956911.037037037
68183.2716049384,154038.888888889,308322.530864198,554012.839506172,957971.358024694
68214.3209876539,152959.950617285,238909.975308642,438851.654320989,774301.876543209
68242.0617283951,152568.061728395,285224.382716049,523022.716049384,925241.419753082
68212.9135802467,152526.098765432,378629.975308642,684533.481481481,1183531.18518519
68153.9753086418,152536.395061729,349628,624064.432098765,1075850.2962963
68174.8148148153,152550.12345679,350410.864197532,631748.641975306,1186124.44444445
68196.1358024692,152908.111111112,274245.283950618,505213.629629634,1000844.55555555
68176.1728395061,153076.716049382,192358.074074075,362269.283950616,693450.074074075
68192.2839506171,152724.753086419,243527.074074073,464899.148148146,877322.716049381
68206.3209876549,152623.456790124,239648.148148149,453321.679012347,843115.654320993
68202.0370370368,152803.333333334,178298.518518519,350684.320987657,669393.086419754
68222.7654320984,153113.802469135,147183.580246912,313761.901234567,639490.493827157
65671.0123456791,147040.419753087,145595.530864198,297793.518518519,605923.271604933
