quality_1,quality_2,quality_3,quality_4,quality_5
69900.2755905512,157639.62992126,150851.511811024,229398.188976378,333794.952755905
69984.5039370079,160182.236220472,200398.047244094,401274.976377953,752792.787401575
69827.0157480315,156491.818897638,201603.062992126,419942.850393701,857024.354330709
70597.2440944882,156610,145753.716535433,322791.79527559,675667.228346457
69607.3228346456,158218.622047244,173499.330708661,370287.637795276,714979.645669291
69948.1417322835,157919.559055118,300620.74015748,614741.826771654,1182295.19685039
69892.7480314961,156998.866141732,205145.866141732,404220.409448819,789949.661417323
69986.0787401574,154830.11023622,282433.826771654,566066.74015748,1075490.74015748
69922.8976377953,156413.354330709,219036.818897638,500220.881889764,1018331.68503937
69945.2755905511,151753.149606299,151640.551181102,320296.220472441,646464.488188975
69873.3543307087,156021.622047244,158358.188976378,319132.299212599,637337.362204725
69943.3228346456,157248.362204725,188196.708661417,359410.488188976,665200.598425196
69902.6377952757,156254.881889764,198606.937007874,401518.20472441,767476.598425196
69902.6929133858,156790.078740157,216215.023622047,442695.952755905,858897.039370079
69867.874015748,160160.433070866,290892.047244094,589780.866141733,1118791.25984252
69715.0708661419,161644.614173229,245942.866141733,482208.015748032,896846.110236222
69900.125984252,156706.811023622,171437.779527559,344744.614173228,675272.551181102
69936.8188976375,158027.937007874,155560.078740158,333543.070866141,667820.661417322
70256.9763779528,158678.724409448,152072.307086614,334356.629921259,682729.078740157
70331.1811023625,157879.842519686,162242.20472441,342321.023622048,672363.070866141
69978.7007874015,158680.984251969,162643.74015748,342904.118110237,680012.858267717
70024.7874015747,157922.440944882,146349.842519685,316686.062992126,634824.881889764
70078.5118110236,156987.196850393,148691.88976378,322198.677165354,647037.732283466
69223.0078740157,158644.078740158,121325.968503936,234250.062992126,454556.157480314
32698.2283464565,75094.9606299209,44334.0944881896,73508.1889763791,131008.77952756
