quality_1,quality_2,quality_3,quality_4,quality_5
45949.2647058824,152086.817226891,30489.8109243698,48671.5336134454,87239.3382352941
68009.1848739496,154509.594537815,146641.718487395,304771.941176471,614769.472689076
68411.468487395,151377.602941177,239220.140756303,418588.781512605,731414.642857143
68100.6197478992,152123.901260504,261436.590336135,496707.785714286,886739.974789916
68089.7289915967,152334.544117647,376424.113445378,687994.850840336,1378045.99159664
68041.2710084033,152184.233193277,376681.638655462,689998.287815126,1375929.26470588
68138.3004201681,153442.806722689,377456.325630252,688848.584033614,1379567.15336135
68076.6239495798,153099.079831933,377006.199579831,689607.596638655,1378417.01890756
67964.819327731,152215.619747899,376699.102941177,688507.592436974,1375660.87815126
68055.924369748,152726.296218488,377026.817226891,689517.470588236,1376506.81092437
68045.9978991597,152513.718487395,376784.138655462,689419.138655462,1375692.72058824
68132.5021008403,153009.970588235,360836.092436975,689715.857142856,1377581.5315126
68092.7331932774,152463.525210084,377636.802521009,689989.468487395,1378412.66596639
68108.1491596639,153012.966386555,377167.743697479,689934.258403363,1377555.62394958
68065.9999999999,152806.081932773,377385.107142856,690445.808823531,1379065.98739496
68102.3949579832,153457.426470588,377760.68277311,690769.674369747,1379351.30252101
68026.4810924369,152446.136554622,376816.117647059,688963.976890756,1376657.15756303
68065.1659663867,152670.888655462,330850.953781512,690851.993697478,1378180.40546218
68089.7436974789,151884.657563026,157687.533613446,334946.384453783,689577.924369749
67867.4411764706,152111.964285714,147070.697478991,317963.283613445,655765.680672269
67959.4642857141,152437.226890756,368560.672268908,674057.069327733,1347395.77731092
68032.5903361347,152705.710084034,320542.563025211,690162.292016806,1355658.72689076
68088.1092436975,152200.726890756,266693.218487395,590267.932773108,1145926.7605042
68016.5840336133,153648.428571429,372246.218487395,686017.831932774,1369251.71008403
68048.8193277312,152272.781512605,377838.497899159,689193.695378151,1376366.48319327
68002.5210084033,153648.634453781,379411.922268908,694688.813025212,1391618.06722689
67973.4306722691,152751.180672269,379225.504201681,707295.462184874,1410519.64285714
68146.0189075633,152686.06722689,377482.605042018,691310.987394961,1380934.63865547
68133.0357142854,153467.806722689,378496.018907562,692753.836134452,1383925.83403361
68080.0315126053,153161.693277311,326411.19117647,680063.197478987,1352948.86764706
68004.695378151,152611.334033613,219928.602941176,469648.00420168,911151.197478987
68123.901260504,153660.602941177,366714.556722691,677425.735294119,1351702.06722689
68090.6827731095,152629.775210084,301855.447478991,677888.865546223,1321754.56092437
68023.5861344538,152958.413865546,301796.510504201,688007.294117641,1339643.04831933
68004.9054621849,153258.521008404,371155.142857144,688927.184873957,1375385.35084034
68046.3550420166,152728.38235294,376916.050420167,690468.991596632,1377808.56092436
68154.8760504201,153960.978991597,220075.321428571,459715.859243698,904866.722689085
68082.5231092437,153663.537815127,363320.039915968,672157.455882356,1341563.10924371
68027.943277311,152594.907563024,376924.155462183,689005.502100836,1375871.82773108
68068.6743697478,152067.105042018,166202.029411765,349307.401260506,696758.726890758
68235.3571428577,152518.68697479,143664.170168068,305931.838235296,616602.64705883
68075.2563025206,152313.077731092,161508.586134454,346220.745798316,677712.655462176
68076.0021008407,151707.205882353,133890.615546219,304385.590336137,675912.577731095
68092.1995798317,152219.777310926,159008.039915966,332305.783613447,656409.539915964
68021.207983193,152217.563025209,146880.235294117,320541.228991594,640929.390756309
68076.1449579839,153030.903361345,150766.407563025,283624.926470589,614505.651260503
68007.8634453774,152183.844537815,192748.029411765,384257.014705881,731285.712184876
68035.8088235296,152645.798319327,257091.781512603,523830.098739494,1013895.74159663
68106.140756302,152626.775210083,155882.905462185,338325.75420168,668498.798319325
68112.7079831935,152356.37184874,207708.397058824,433548.993697479,843527.105042018
68093.8550420166,152909.348739496,221904.306722689,455173.844537817,874774.632352941
68074.7247899161,152726.747899161,259838.533613447,514324.189075634,981289.128151268
68096.6827731095,153429.674369748,214500.762605041,414599.619747892,778871.521008402
41522.4978991598,99837.1449579829,34739.4936974775,62980.8130252138,114583.361344539
5806.52731092414,14057.5672268914,6784.82142857276,8328.78151260316,11845.7857142836
2029.40126050403,4422.68907563016,5782.84663865529,6551.15546218678,9212.28991596401
60278.2521008402,135492.949579831,193394.703781512,388296.407563023,723792.174369745
68066.3823529417,152792.890756304,207140.514705883,404150.277310926,746567.199579835
67997.6155462181,154690.825630251,200713.81512605,388358.945378155,721307.886554621
68161.7836134452,154436.149159662,314929.529411763,655550.764705874,1261897.51260504
68040.8508403366,152164.096638657,315944.663865549,660193.256302528,1280662.21638656
68097.2079831925,151996.789915964,313073.626050415,639584.907563016,1243110.90126049
68052.2163865552,152917.842436977,274310.279411767,573841.602941182,1136954.46218488
68033.3634453784,152753.304621849,305017.060924374,650550.997899164,1294726.84033614
68009.3256302518,152325.004201679,278854.672268905,582779.157563016,1134100.06512603
68033.3928571427,152149.159663865,270524.537815124,582874.884453788,1188056.35504203
68022.2962184874,152665.174369749,224184.760504205,487704.756302521,953517.731092438
68127.8004201679,153338.56092437,196472.449579831,411423.12605042,817631.319327727
68096.7983193286,153729.968487395,323269.37394958,650277.907563023,1310607.74369748
68037.478991596,152864.901260505,373075.983193278,696762.978991598,1382571.79831932
68085.7878151257,153832.615546217,311104.768907562,658019.831932768,1333149.81092437
68080.3634453788,153581.993697479,310776.084033612,663385.668067232,1327936.52100842
68064.978991597,153179.571428573,336003.598739497,687237.00420168,1372482.85084035
68109.1596638644,152391.113445377,363132.838235293,691089.684873946,1380081.28361343
68137.813025211,152884.386554623,354102.054621853,694425.346638665,1387324.80252102
68070.9558823528,153329.306722689,324848.844537813,658321.586134449,1288288.13025209
68035.0882352944,153505.909663863,319953.972689074,662336.12815126,1312629.68907563
68075.9285714282,153256.039915968,306843.68697479,631152.481092438,1244939.44957983
68061.3109243698,152258.506302521,365852.376050424,686212.771008402,1368187.14075631
68066.7058823518,153291.62815126,377511.056722686,691893.182773113,1383031.51890755
68096.9117647065,152518.224789917,377301.607142862,689688.319327734,1378346.7857143
68010.7478991598,152569.766806722,377168.300420169,689549.256302521,1377864.20168068
68132.2163865548,152683.785714285,311921.218487389,666354.132352933,1393930.78991596
68083.2668067226,152341.592436975,323266.563025214,684746.577731095,1381274.11344539
68068.344537816,152614.724789916,338377.886554621,690020.107142858,1378501.90546218
68071.9747899147,152504.380252101,370769.894957982,690147.783613443,1377067.23739494
68067.7857142864,152423.978991598,332628.81722689,666221.640756309,1340946.61974791
67963.1806722693,153157.705882354,124389.670168068,242832.670168065,475679.691176474
31866.8529411759,101678.411764706,21980.2079831921,37619.1953781545,69698.6533613503
60669.0924369749,143424.857142856,121465.749999996,255132.035714276,506596.19537814
68232.3424369749,154367.720588235,235037.993697483,489744.537815131,933179.873949587
68040.5189075628,152813.25420168,323725.090336137,633668.869747892,1171173.30252101
68044.7163865548,153111.689075632,297565.529411763,594812.313025214,1129569.91386554
68117.5819327729,152559.180672267,295744.365546219,595502.817226894,1129772.3382353
69878.8718487397,156931.762605041,285958.699579831,588714.403361343,1116989.0987395
