quality_1,quality_2,quality_3,quality_4,quality_5
68567.3798882682,153244.301675978,213142.843575419,378774.25698324,779464.681564246
68648.2458100559,154670.916201117,205193.418994413,395847.74301676,858939.184357542
68636.0614525139,154358.865921788,190944.167597765,361781.480446927,845909.547486033
68621.3631284916,153737.05027933,182549.094972067,340190.145251397,831307.821229051
68625.530726257,154251.927374302,204314.189944134,379029.329608939,869585.865921788
68566.5251396648,153795.787709497,313441.072625698,595962.670391061,1218786.06703911
68611.1508379889,154876.87150838,292434.083798883,575212.61452514,1213247.93296089
68562.0558659218,154623.262569832,339268.402234637,637332.51396648,1275350.88268156
68587.4916201117,153744.083798883,288871.290502794,543280.525139665,1136305.30726257
68594.5251396648,153775.251396648,193282.290502793,373673.966480447,815193.910614524
68569.8994413408,153673.575418994,184219.815642458,350540.446927374,775198.089385476
68603.2625698323,153676.022346369,161194.793296089,306847.374301675,672039.620111732
68648.1005586594,153352.74301676,146511.92178771,311742.854748605,623736.502793295
68656.4916201116,153878.301675978,148835.296089385,287571.12849162,665848.826815642
68642.4301675978,154416.620111732,148744.69273743,306211.927374301,628533.938547486
68614.905027933,156830.793296089,146455.597765363,316317.407821229,619184.446927374
68664.8882681562,153726.921787709,148513.379888268,318341.737430167,613984.9273743
68674.1229050281,153946.156424582,159973.642458101,329062.625698324,652708.156424582
68623.0502793295,154576.324022347,280368.558659218,523595.670391061,1125298.65363128
68537.9888268157,153447.150837989,353176.983240224,651566.368715084,1301203.91061453
68618.6983240223,153750.670391061,146571.452513966,316019.396648046,627287.581005588
68607.8882681564,153612.603351956,145952.79329609,314336.055865923,626773.955307264
68618.5810055865,154257.245810055,149979.737430167,321433.530726256,620907.2849162
68648.7150837989,153657.854748603,171152.044692737,356970.502793295,637454.145251397
68583.2122905029,153712.960893855,165047.458100559,349390.558659216,640335.083798882
68480.525139665,154629.988826816,143486.525139665,301311.474860337,648019.631284919
68674.6759776534,155375.748603351,126530.597765363,270317.413407821,634947.385474861
68663.1284916201,154843.754189944,161694.011173184,340194.681564245,643451.955307264
68687.1452513966,154123.737430167,156615.491620111,330229.340782123,635875.201117311
68676.0335195535,154322.513966481,146765.698324023,316562.513966482,625694.245810062
68658.6089385473,154650.340782123,152773.648044692,332475.363128493,636050.703910615
68656.0446927371,153971.195530726,158651.418994414,337321.318435751,670969.944134075
68639.4134078217,154132.25698324,197602.893854748,385788.737430168,906381.150837991
68642.5251396643,153396.43575419,198875.910614525,381714.201117318,894135.061452508
68659.8324022349,153476.368715084,235777.011173184,438194.944134079,956631.843575425
68608.5586592178,154267.642458101,224547.687150839,416778.234636871,929173.273743015
68628.8324022349,154093.530726257,156836.206703911,307063.184357543,645106.530726258
68633.2178770951,154034.670391062,150324.480446928,316046.994413409,628270.335195534
68654.8156424584,154154.178770949,170591.664804469,309429.13407821,681941.564245809
68617.0949720666,153997.765363129,176937.094972068,327098.659217877,712496.759776536
68671.4357541897,154180.111731843,165634.324022345,315343.726256983,663844.541899443
68628.8715083799,154095.05027933,151441.608938547,314159.027932959,608953.877094969
68612.4748603357,154041.94972067,151723.486033521,333040.418994417,632999.240223467
68612.3351955302,153727.553072626,162827.396648045,338634.547486033,689047.106145248
68692.6256983243,154355.782122905,198604.608938547,368082.905027932,838409.581005588
68540.2681564242,153949.106145251,163592.402234636,321218.782122906,703710.391061448
68451.8100558659,154282.815642458,160206.3575419,331880.424581006,695983.301675983
68608.223463688,153745.206703911,204519.217877096,379922.346368715,874051.843575418
68643.7597765359,153548.094972068,186260.564245811,352730.69273743,827463.402234636
68602.0111731845,153907.430167598,162714.581005586,321360.223463684,752572.122905031
68639.7150837989,153883.474860335,147759.653631285,311493.921787713,678417.905027933
68628.1787709496,153461.966480447,159921.273743017,307604.134078212,732447.754189946
68628.3966480447,153398.351955308,191448.452513967,362655.016759776,826200.52513966
68541.3854748607,154044.905027933,271079.195530726,503328.871508382,1054732.22346368
68573.3519553067,153902.765363127,330023.016759776,617614.748603348,1257975.3631285
68561.2067039106,153218.458100559,362759.776536314,675774.860335197,1344734.27932961
68605.1731843576,153500.229050279,289106.212290503,539479.256983239,1106454.97206704
68614.4357541902,153551.173184358,186446.189944133,352715.430167597,814490.480446927
68600.7486033523,153752.659217877,200096.491620112,375081.620111734,845729.039106153
68632.6256983234,154621.340782123,192362.681564245,356690.614525139,816444.804469272
68616.3519553072,155092.614525139,188281.340782123,356789.770949721,813334.793296084
68619.061452514,154098.044692738,151686.446927374,307655.865921788,707827.899441347
68620.6759776538,153404.396648044,144880.893854748,309380.832402233,665853.435754187
68664.6703910613,153569.854748605,201303.575418994,405312.201117318,827807.798882678
68623.910614525,153947.960893855,268983.603351956,517519.497206703,1080105.33519553
68610.033519553,153793.608938547,209094.368715083,403748.782122903,850340.044692732
68640.078212291,153819.603351956,195209.944134079,375152.195530731,781941.810055874
68629.1843575425,154054.547486033,196108.290502794,371493.474860337,746236.357541904
68630.7486033514,153525.067039106,174832.273743017,344563.944134079,682150.91061452
68614.2458100561,149731.005586592,173177.374301676,339110.726256981,670706.48044692
50174.0949720666,116015.374301676,153249.703910613,269282.324022345,543601.150837995
