quality_1,quality_2,quality_3,quality_4,quality_5
69226.6666666667,152629.873417722,147626.497890295,305023.966244726,606869.535864979
68957.7130801688,153779.35021097,198284.848101266,381501.004219409,652780.94092827
69260.1012658228,154511.308016878,150344.362869198,318148.421940928,635800.016877637
68990.0506329114,154044.924050633,195263.502109705,377788.316455696,663455.687763713
68954.1265822785,153807.544303798,214649.046413502,409511.611814346,712397.181434599
68939.8101265823,153670.632911392,171927.552742616,347749.70464135,663298.080168776
68943.2827004219,153840.261603375,145017.991561181,311656.210970464,627696.354430381
68961.8649789031,154658.379746836,171635.675105486,350242.848101266,657349.759493671
68977.2827004219,154351.206751055,225796.624472574,443192.421940928,781431.493670885
69003.3080168776,152638.438818565,264587.531645569,520264.654008439,913158.253164556
68972.9535864978,152660.970464135,258634.430379747,483997.552742616,831119.324894516
68980.6751054854,153125.337552743,224911.012658228,413734.552742616,713802.902953587
69006.4978902952,153167.679324894,169411.054852321,316858.683544304,610564.725738397
68933.3333333334,152651.223628692,141750.548523206,300244.303797467,628089.789029533
68961.9789029537,152949.691983122,162063.029535865,299018.088607596,619931.345991563
69047.3417721518,152690.244725739,166996.962025316,304160.506329114,610781.080168776
68994.0506329115,153944.831223628,160180.569620253,306781.476793249,614594.810126582
68906.6835443038,153019.797468354,152287.139240507,307357.130801687,628873.805907173
68894.6751054851,153269.658227848,145545.94092827,308470.789029536,639420.683544302
68946.8438818567,153574.303797469,144353.156118143,314454.641350212,649258.590717301
68980.417721519,153171.012658228,145547.700421941,313978.392405063,640203.599156117
68900.3375527423,153166.582278481,145078.902953587,306066.835443038,619903.628691984
68868.1814345992,153250.493670885,177076.206751055,344649.063291139,651345.278481012
68957.1898734178,153001.924050634,224374.472573841,407549.164556963,704882.042194095
68902.4894514768,153660.071729958,194138.016877637,366737.067510549,659615.227848101
68908.5063291141,153519.831223629,157108.101265823,313766.869198313,629375.324894518
68982.9535864978,155103.691983121,201767.932489452,382644.810126582,657234.282700419
68937.9746835446,152845.232067511,182523.88185654,333330.632911392,616949.620253164
68874.5063291134,152788.202531644,241390.320675104,430177.822784809,713568.691983122
68916.3291139244,152477.274261604,153660.848101267,319623.278481014,635969.270042192
68852.7932489451,152196.388185654,145262.616033755,304594.447257385,621360.236286923
68921.3164556958,152838.426160337,209000.181434599,380320.189873416,667986.789029531
68957.3839662452,152798.312236287,207760.759493671,383032.616033755,654742.911392409
68972.2109704637,153294.514767933,214149.957805907,407136.717299577,701107.721518986
68865.7552742613,154328.23628692,175829.333333333,334016.82700422,583369.434599157
68838.7426160341,153915.109704642,138937.518987342,278356.53164557,536701.603375524
68926.1603375529,152608.506329114,145658.455696203,311855.662447259,639995.493670888
70235.6962025319,152011.265822786,135229.704641351,287743.945147678,574665.590717301
72688.9789029532,153102.025316455,122943.105485232,253390.379746836,484456.270042196
70312.1476793247,161009.253164556,139748.763713079,291474.789029533,559565.371308014
70628.6835443038,163515.105485233,146160.793248946,304607.586497892,608376.666666664
68844.2194092833,155761.856540085,272109.367088608,524425.232067512,902022.278481014
70329.3417721516,157185.632911392,67762.2067510551,118498.805907173,194592.206751056
70337.2151898732,156621.35021097,65084.8101265812,112364.556962024,184985.06329114
70236.3417721521,157948.194092827,65037.0337552745,112518.485232066,185330.527426161
69759.5274261599,157078.87763713,64848.5822784808,112383.662447259,185183.949367087
61129.9156118147,135582.814345992,71014.8143459922,135193.029535864,255240.244725738
