quality_1,quality_2,quality_3,quality_4,quality_5
68244,152909,154130,335727,608406
67881,151354,145886,319882,610297
68297,152668,155257,304542,604928
68511,152730,139541,256146,511832
68523,152723,120063,218853,467059
68254,152984,184384,327200,674398
68141,152519,153071,305659,625959
68225,152231,187402,321197,733417
68214,153173,186443,318035,730131
68274,153240,184205,318464,709421
68275,153393,174202,303530,691563
68219,153931,377739,691473,1379984
68236,152982,377774,691363,1380376
67988,153865,378252,701150,1379915
68266,152713,271758,510760,1136069
68281,152730,144781,306744,615962
68474,152969,123245,219085,467603
68462,152729,115670,210180,464180
68522,152791,121187,220097,449576
68482,153112,124703,232031,484460
68618,152805,125235,226734,458566
68431,154878,289604,529777,1076332
68362,152606,338570,596666,1126000
68150,152640,346455,609605,1136089
68257,154209,240653,433512,861225
68181,152629,160045,310767,618947
68135,152541,277308,503973,884044
68290,156033,285466,522438,1073526
68137,153104,340457,608296,1173078
68218,152742,240374,426452,846844
68205,153261,378056,691383,1378175
68172,153365,377783,691760,1382422
68173,152711,250826,458660,905047
68271,153690,161985,303035,681987
68249,152675,190513,359863,739899
68225,153194,214461,376449,776918
68206,152805,378133,691840,1379116
68193,152714,378851,693067,1378957
68154,152667,377214,689743,1345150
68247,152640,288479,504823,1061456
68184,152656,157181,305532,606474
68221,152511,214494,381255,769035
68226,152635,368368,660000,1292046
68196,152539,377451,652455,1199861
68189,152655,377576,690572,1377819
68140,154237,294045,531984,1048944
68190,152482,378331,692520,1372487
68289,152986,377596,691011,1379623
68073,152650,182021,339758,789273
68259,152844,283364,509254,1007671
68264,154097,379654,673134,1378647
68290,154423,379902,691989,1382709
68173,152630,377470,690623,1377783
68182,152734,142465,306028,598285
68509,152653,116834,200750,397411
68466,152981,121966,212646,418554
68076,157162,165578,311900,611099
68107,155694,271068,490949,1037282
68172,153116,377340,690662,1378478
68176,153693,379879,694125,1386410
68294,152906,265885,506315,1064652
68062,153139,276108,495555,950388
68166,152674,352160,621782,1223226
68264,153231,377995,692328,1379785
68207,152656,224891,418886,896283
68396,153062,279263,485215,1035013
68191,152473,378344,692311,1381298
68214,152741,379473,694281,1379157
68168,152649,377736,691110,1377694
68201,152372,378723,692974,1384088
68153,152674,269295,482835,980236
68233,153049,226655,400958,845267
68166,152725,194811,347169,756627
68203,153260,377935,693526,1377669
68177,153753,378544,693351,1380901
68243,152479,340647,590607,1081526
68158,157822,285871,517447,967932
68497,152728,120256,227216,500072
68503,152743,121839,226658,480339
68527,152942,122976,224137,464117
68517,152776,115837,211603,446670
68517,152837,120723,215703,443190
68345,152719,125997,226559,467958
48514,108888,101926,232084,470892
