quality_1,quality_2,quality_3,quality_4,quality_5
67909.4827586207,151599.74137931,377284.267241379,687019.913793103,1376180.21551724
67620.5517241379,152060.655172414,354697.525862069,689892.517241379,1370150.99137931
67732.9655172414,151334.094827586,373880.844827586,685805.879310345,1370037.70689655
67734.0344827586,151439.922413793,341997.810344828,685181.793103448,1230397.74137931
67910.0775862069,151847.870689655,373934.155172414,687166.939655173,1366244.69827586
67711.5948275863,152402.974137931,375051.637931035,690055.387931034,1358770.90517241
67661.8793103448,150981.413793103,374510.284482758,685040.672413792,1367423.37931034
68205.2413793103,153882.051724138,299135.75,575935.482758623,968101.913793104
67667.7844827587,151988.715517242,368433.724137931,675892.344827586,1336095.57758621
67661.5086206895,151331.956896552,374990.655172414,685982.034482758,1368773.28448276
67680.9051724138,151592.672413793,375204.094827586,687687.327586207,1369404.78448276
67727.2844827587,151605.413793104,374519.629310345,685464.155172414,1368911.6637931
67758.6637931034,150493.793103448,330707.353448276,679667.603448275,1202564.18103448
67732.7500000001,151506.706896552,327123.129310344,685512.534482758,1222697.80172414
67695.0948275863,151525.163793104,340067.896551725,695273.103448277,1270504.81896552
68218.8362068965,152288.577586207,370413.965517242,687214.827586208,1357198.23275862
67877.3534482757,151558.258620689,374611.120689654,684194.525862066,1367950.8275862
67850.75,150702.344827586,355066.75862069,685601.146551725,1340212.96551724
68823.75,155839.043103449,172217.215517242,368920.655172415,731253.241379309
67832.7672413792,152358.008620689,232544.836206896,427196.637931032,697777.586206894
67857.5,152233.362068966,156104.396551725,324361.594827589,632952.370689657
67890.3965517243,151947.155172414,138445.844827587,292975.939655172,602019.801724136
66256.5862068965,148341.646551724,130436.439655172,272073.801724138,495419.741379313
