quality_1,quality_2,quality_3,quality_4,quality_5
65195.625,145451.217105263,173418.092105263,322618.322368421,581918.388157895
65342.7039473684,145660.940789474,308954.97368421,617891.111842105,1056995.19078947
65335.5131578947,145382,337043.414473684,654532.842105263,1191622.81578947
65323.3421052631,144424.315789474,324537.361842105,638725.328947369,1122057.68421053
65349.2565789474,144723.052631579,350895.203947369,651618.953947368,1268302.76973684
65382.6644736842,146199.144736842,345591.809210526,655359.506578947,1233745.75657895
65377.6315789474,145361.519736842,350263.263157895,656525.453947369,1201269.86184211
65356.3157894737,145863.230263158,324370.618421053,635841.953947368,1162085.32236842
64817.1842105263,145376.486842105,338798.756578947,642686.328947369,1243958.27631579
64888.1710526316,144649.644736842,314001.743421053,593698.052631579,1097634.30263158
60108.3223684211,134508.125,253361.085526316,493320.361842105,833538.421052633
70889.2434210526,158782.217105263,349595.782894736,652897.467105262,1226150.15789473
78547.9078947367,174675.401315789,432216.875,796938.5,1587973.49342105
57047.3421052633,126992.769736842,313414.782894737,583254.302631579,1157882.04605263
50958.75,113581.22368421,279679.986842105,511077.657894736,1018514.83552632
72767.5,161891.710526316,399617.302631579,730768.75,1458895.625
85279.9276315789,191276.217105263,471830.77631579,863512.355263159,1728972.2631579
65372.730263158,145581.980263158,357974.710526316,655098.25,1318245.73684211
65479.6184210528,145582.177631579,357584.585526316,653793.125,1307920.80263158
68886.9078947369,152428.177631579,376921.243421053,686651.927631581,1375870.96052631
102468.684210526,228507.960526316,564016.085526316,1032770.52631579,2066821.57894737
100610.921052631,224938.881578947,560235.164473683,1024688.28947368,2033865.39473684
65857.2171052634,145669.842105263,360882.815789473,660327.111842107,1319210.66447368
65665.519736842,144898.5,358473.144736843,658447.730263157,1307862.65131579
89815.6381578948,200524.914473684,496623.243421052,909502.789473685,1816914.05921053
69855.7302631577,154792.993421053,382863.480263159,699925.855263159,1397839.05921052
78932.8618421052,176288.914473684,436664.111842105,798837.960526314,1596233.125
69755.980263158,154996.572368422,382902.690789474,700588,1399893.625
65526.3750000002,145658.256578947,358560.526315788,656691.552631579,1310007.38157895
73183.7302631577,162604.414473685,406262.223684212,743511.565789472,1484760.28947368
69442.789473684,155798.302631578,388218.802631579,710589.289473686,1420980.34868421
62913.1578947371,141178.157894737,349023.02631579,640747.565789472,1276509.90131579
63208.1776315784,141831.90131579,350024.776315788,641936.157894738,1278215.7631579
64887.3881578953,145389.940789474,359277.644736843,657532.407894738,1313915.13157895
65332.4802631577,145037.013157894,329476.453947367,630915.138157893,1255516.38815789
65344.743421053,145401.618421054,311439.598684212,613270.717105266,1216072.26973685
65351.6118421047,145601.414473684,357472.960526314,654001.677631576,1307185.03289473
65367.8355263164,145124.84868421,358225.63157895,655685.611842111,1312676.12500001
65312.4473684202,145951.842105263,360680.151315788,661001.769736838,1320843.74342104
65468.210526316,147093.894736841,361775.151315788,664962.993421052,1323461.59868421
65308.7236842103,144752.355263159,357598.480263159,654282.368421052,1307127.17105263
64574.0131578948,145239.868421053,358224.572368421,655390.197368421,1309177.5
65360.2697368423,144888.394736842,357260.447368421,654025.375,1306288.32236842
65161.2828947371,144437.171052632,337731.710526317,659083.190789476,1290733.71710527
65502.6513157892,145182.986842105,342120.335526316,658357.782894738,1180523.66447369
65361.585526316,145760.421052631,367617.559210528,676338.164473683,1310800.30921052
73660.1907894742,163032.967105264,407660.02631579,742510.657894738,1485692.44078948
66910.2302631573,148410.888157895,369270.131578948,672509.210526317,1350289.76973684
62635.0526315789,139984.315789473,342635.638157893,626114.157894734,1253300.68421052
64443.7763157897,143005.131578947,352643.046052631,646602.710526314,1287232.27631578
64920.164473684,144579.855263157,357978.052631576,655327.835526317,1306334.81578948
76074.5592105268,169723.092105264,419268.210526317,767286.085526317,1533550.90789475
71959.5394736836,161058.815789474,397730.855263159,727955.230263159,1454476.38157894
63542.7236842108,141486.342105262,349802.697368421,639932.190789476,1277382.71052633
63963.8552631577,141620.828947369,350232.414473686,641293.526315786,1278951.07894737
61464.5921052634,136914.828947369,307604.664473683,614549.421052635,1238129.24999999
60133.3815789474,134297.625,231716.980263159,505917.881578945,988932.532894745
65379.9342105263,145101.875,209429.440789472,409645.526315793,725997.335526317
65293.8684210526,144829.546052631,195280.118421052,384454.743421048,688569.039473683
74032.710526316,165977.532894738,184744.592105266,384623.453947365,719487.907894731
