quality_1,quality_2,quality_3,quality_4,quality_5
68435.0092936803,152969.944237918,177468.076208178,321536.691449814,624128.373605948
68435.0092936803,152976.962825279,155184.93866171,320908.527881041,636939.927509294
68517.4237918216,153003.565055762,150230.06133829,314810,638541.477695167
68420.3903345725,153248.977695167,165966.905204461,321179.817843866,608166.652416357
68472.7453531598,154548.884758364,161142.446096654,307621.104089219,610726.07063197
68461.5334572491,151877.50929368,149569.107806691,304838.159851301,608088.382899628
68542.3791821562,152609.986988848,145950.050185874,309758.258364312,642319.773234201
69099.2713754646,154230.154275093,151370.752788104,327794.908921933,688774.237918216
69023.9591078067,153976.973977695,150684.048327137,327710.074349442,667982.105947955
68442.56133829,153521.762081785,160932.970260223,336222.401486989,666450.641263941
68373.4479553904,153522.19330855,214663.680297398,416465.957249071,785015.845724907
68380.5334572489,153458.747211896,236909.144981412,450093.81598513,817775.566914498
68438.1635687732,153106.882899628,145534.165427509,310553.159851301,614637.750929368
68475.7546468402,152942.414498141,160197.979553903,327866.245353159,612665.215613382
68479.9609665428,153420.442379182,185920.535315985,372407.73605948,683316.111524165
68386.1802973978,152988.085501859,143623.605947956,315782.52788104,626740.092936803
68292.3327137546,152585.092936803,142736.654275093,310291.524163569,612121.951672863
68386.4033457248,155039.888475836,146690.308550186,309043.520446096,626878.498141263
68331.6375464685,155069.395910781,188490.752788104,361723.107806692,664630.156133829
68267.8011152416,146161.633828997,170659.912639406,335410.527881041,626421.338289965
72163.3215613384,162121.828996283,143396.934944238,286243.191449814,495932.736059479
69960.7342007435,159027.583643123,141570.511152416,302128.633828997,590723.7732342
68491.814126394,153744.988847584,182473.667286245,362234.388475837,685118.3866171
68487.5241635689,152879.137546469,178371.020446097,363525.317843866,711230.758364314
68473.3996282527,152872.178438662,152168.511152416,326281.665427509,670047.559479553
68466.7602230483,153484.275092937,147646.195167287,312178.959107806,628786.336431224
68463.3643122674,154408.401486989,147599.107806691,314369.265799258,632343.847583644
68510.0111524165,155122.661710037,145608.044609665,309622.053903345,623645.706319701
68480.7918215618,155472.366171004,148552.71747212,309619.828996284,613203.622676585
68396.0929368027,153276.250929369,156683.427509294,326245.72118959,613825.410780668
68732.936802974,155510.851301114,141478.236059478,304608.377323419,594746.602230482
70841.1524163573,170511.802973978,131934.823420075,255962.964684017,456911.15241636
68892.1375464681,160408.838289963,152997.165427509,345607.732342005,709955.845724903
68565.6617100369,152599.024163568,181994.072490706,376050.460966544,724218.358736061
68406.8791821566,154476.083643124,154790.258364313,317632.750929369,632243.219330858
68391.8308550185,153260.392193308,184791.540892192,372374.133828996,695624.066914491
68434.1988847582,153231.442379182,167257.7267658,324926.172862453,619308.263940524
68404.7862453531,153402.862453531,154089.934944238,318020.418215614,602340.353159849
68503.5594795537,153137.964684014,150648.078066914,308070.306691449,612825.749070633
68424.8866171008,153726.102230484,144372.54275093,304269.882899629,621666.622676581
68240.351301115,153575.832713755,141019.289962824,305300.563197026,629193.455390338
68609.8977695173,157599.676579926,142707.022304833,312821.068773232,645533.723048322
68864.5724907061,160109.265799256,174341.25464684,363409.721189592,701960.799256507
68393.8661710033,154441.284386616,207973.291821562,405234.970260222,738317.263940517
68383.9498141268,153084.475836432,177690.661710037,364892.710037179,691321.195167292
68424.5594795537,153004.817843867,186098.364312269,380146.702602228,729790.682156131
68413.4014869886,152891.723048326,199852.888475835,382519.408921931,705065.371747214
68519.7211895916,153739.154275093,150569.219330856,310898.066914501,613102.286245354
69162.4721189584,156243.057620818,143144.033457248,305550.343866169,619320.548327133
68466.3903345731,153794.64126394,143325.05204461,312445.845724907,628812.827137548
68255.6263940516,156030.860594796,149721.271375465,330158.241635688,670645.423791822
68379.968401487,153401.239776951,164451.040892192,326315.081784386,630116.76208178
68399.9089219333,153813.180297398,150536.501858737,311229.157992568,609192.966542751
68411.031598513,153648.689591079,144457.509293679,312984.842007432,615219.423791826
68426.5724907066,153579.830855019,143481.390334575,310319.178438663,614998.092936806
68309.5762081789,151438.210037174,143415.501858735,303313.631970264,590431.163568772
69259.6133828992,159805.955390336,145477.659851301,307586.576208178,634177.022304833
69397.0148698892,162033.68401487,145368.615241636,309204.237918217,649906.37918216
68494.8048327127,155167.249070631,159124.293680297,330245.232342005,648290.827137545
68392.7007434946,154536.460966542,179325.453531599,359358.726765797,678994.93122676
68389.3011152414,154538.622676577,167809.892193308,329316.918215614,624546.258364312
68471.8141263933,157576.618959108,161043.342007434,321250.561338287,640624.005576201
68461.0223048329,153456.228624536,189989.135687733,397771.540892195,756213.507434949
68389.6468401495,155313.522304833,177159.693308549,349015.362453531,666102.369888484
68355.3234200748,153809.537174722,207419.18959108,390533.94981413,727366.005576201
68496.022304832,155709.897769516,163633.141263941,334305.306691453,636937.351301119
68178.1728624543,155104.470260225,144551.490706319,310492.418215614,627921.823420078
68377.2881040899,154115.775092935,184759.966542752,351643.641263939,638717.589219332
68348.3364312258,152716.553903347,161157.115241636,339365.061338291,655504.514869891
68259.9349442376,152605.371747211,146580.334572488,310768.131970257,636480.12081784
68560.1449814131,152851.687732343,146561.678438662,313250.102230486,639659.104089215
68542.9888475835,153266.620817844,145358.247211896,310034.946096651,632020.167286247
68493.1821561325,152705.498141263,146206.895910779,308677.182156134,619441.537174717
65209.0780669153,146325.26022305,120757.988847585,233300.111524165,437881.507434949
64650.4553903351,146866.059479553,116100.157992566,218368.373605944,411930.074349441
68558.4405204458,154471.617100371,151790.492565054,315595.314126395,627136.814126395
68528.8661710043,152520.968401488,179431.092936805,359946.457249075,677586.693308562
68393.7211895911,152977.85315985,211813.977695167,405971.126394048,746646.388475828
68391.4182156138,153505.425650558,152156.262081785,319031.14312268,605137.410780676
68423.4107806683,155059.61895911,146549.321561338,313605.102230482,617601.960966542
68387.7156133829,153157.717472116,149047.286245352,300410.007434942,613705.791821547
68431.2546468405,153185.836431229,164648.773234202,328884.535315987,641845.613382906
68349.4516728623,153663.929368028,141827.561338291,303908.269516729,617847.347583644
68727.3401486985,150533.342007434,174224.765799254,324771.39219331,619603.184014872
73402.3643122679,169397.730483271,137989.687732341,256405.827137545,448593.472118959
69768.5873605944,157557.16542751,141529.888475837,290136.328996282,575381.784386612
68526.4200743502,153313.122676581,143533.449814128,304858.812267657,620752.697026022
68493.2156133829,153605.524163568,161078.014869887,318830.633828998,604778.302973986
68412.2769516725,153897.20260223,175956.027881043,345452.001858737,631409.005576208
68411.6970260227,153912.711895911,244221.15055762,481403.908921935,880768.187732339
68419.6282527875,154011.384758364,271178.169144981,531528.643122673,986940.260223046
68528.4758364316,154391.652416358,209894.228624534,408900.836431228,770247.695167288
68669.8048327137,155953.210037176,169490.501858737,333108.208178438,628017.533457249
68474.9572490705,157265.689591076,152278.263940521,318654.654275093,624910.622676581
68411.5371747212,152406.925650559,173015.425650559,341435.828996282,656561.661710031
68497.3884758363,154276.672862452,157208.057620816,314266.431226764,622415.037174717
68499.2323420076,154544.652416358,148621.726765798,327777.026022308,675342.28438662
68722.2397769522,156316.2732342,162990.157992566,319154.36802974,598544.210037179
68449.5520446096,153576.41078067,161176.877323421,314312.769516729,599368.765799254
68495.6449814122,152658.23977695,152644.078066913,303683.802973978,616914.312267654
68448.2676579915,153590.195167288,187187.48141264,364897.604089215,679521.808550186
67691.0037174728,149196.8866171,151509.3401487,322691.849442378,658279.340148702
61481.946096655,134387.30483271,153358.544609664,282173.381040894,501331.282527879
65463.4293680284,145551.546468403,150747.195167286,298857.622676581,582791.446096659
68564.79739777,153620.52416357,149999.687732343,308235.579925649,626877.708178446
68432.4702602234,153015.356877323,146292.230483271,302447.438661709,606378.250929356
60062.3791821562,134029.172862453,122481.403345723,262847.323420078,528017.843866169
