quality_1,quality_2,quality_3,quality_4,quality_5
68183,152515,263906,570870,1378197
68149,152471,201528,421752,1085904
68273,152573,202511,387212,942534
68089,152411,309519,635414,1377760
68236,152925,141164,307321,704380
68139,152778,186182,370785,882819
68256,152583,144091,313800,650533
68261,153961,169339,340461,934014
68235,152594,377494,690602,1377283
68180,152145,264141,542842,1274293
68260,152708,333783,635447,1288079
68632,153151,201656,378941,823750
68180,150285,245125,460392,1044279
68193,152602,329295,637693,1377231
68101,152453,280412,541492,1126710
68227,152352,216521,397976,901743
68400,152428,255170,473353,972308
68143,152015,370038,677699,1378471
68177,153201,216315,401077,885193
68266,153234,153570,308059,658244
68170,154513,158720,308217,698024
68156,153290,252163,472816,1064543
68185,152433,218171,404776,976002
68160,153652,254574,473252,1067457
68059,153631,346885,623726,1288862
68126,153084,291483,538845,1163653
68230,153197,264848,490170,1095493
68137,153707,285515,533289,1162962
68184,153805,334649,655298,1399772
68097,152671,309574,582179,1161505
68186,152431,251215,468111,961667
68224,152280,178560,332074,789764
68148,153324,223900,412878,952732
68174,152940,227069,430635,959792
68232,153607,168447,323127,792444
68150,152946,141431,314535,604047
68120,152750,249824,459394,1004399
68224,153110,285314,526927,1118925
68094,153143,352744,680620,1337573
68184,152655,305313,561212,1164220
68182,153840,377601,690817,1378656
68216,153676,377750,690602,1378479
68164,153842,379569,693837,1377703
68153,152902,377426,692773,1377496
68241,153523,299677,555517,1144277
68403,152244,379775,695232,1391056
68137,154338,377526,690839,1377121
68153,153043,377358,690740,1378576
68192,154476,350621,653261,1355507
68185,154157,377954,692359,1378013
68117,152406,377015,690043,1377311
68135,152557,378049,691858,1377401
68227,154381,380522,696204,1391539
68155,152897,342714,650338,1305018
68453,152796,381539,698026,1386898
68083,152889,378177,691360,1379910
68153,152777,318825,583654,1105582
68204,152339,188527,384018,901473
67792,162771,111997,242750,663376
67965,152435,190636,377126,634290
68237,152546,98624,185111,440027
68220,153359,130130,260733,656020
68252,152687,132737,278610,650950
68285,152740,139216,296179,653411
68292,152453,161923,333620,627115
68277,151973,156595,341704,630199
68236,152977,159191,353339,630119
68260,152340,157179,323081,649540
68209,152841,125364,277673,651735
68300,152265,155258,314758,646669
68285,152511,144281,313353,756178
68310,152802,140943,291792,644303
68349,152588,155172,310739,645594
68341,153408,134864,284435,665851
68333,153849,143867,300577,642300
68360,153000,139638,290753,647144
68261,152915,154348,345090,604359
68218,152922,158766,330740,649798
68348,153025,129999,275404,648141
68253,153377,152642,331441,610261
68204,152878,153123,312719,645180
68175,152694,155019,323848,648851
68212,152725,143730,310914,647960
68264,152760,166257,345362,654470
68219,152769,131432,274968,663346
68181,153263,135832,284929,641085
68255,152706,145087,303663,656611
68208,152495,123147,271098,663471
68245,152131,139220,290828,659435
68187,152661,130599,280527,661916
68266,152681,124846,272336,668184
68130,152866,129596,277392,660095
68183,152957,124327,274701,660316
68243,152636,123844,267311,658477
68186,152508,123788,268861,658583
68271,152454,149584,324171,609235
68303,152743,114385,245248,683962
68265,152566,116714,243669,685897
68320,152800,126596,264892,669144
68247,153573,116475,251351,676409
68272,152657,120724,254875,662338
68294,153333,120727,255644,665879
68307,153064,162646,325086,642094
68213,152462,150915,310590,653300
68157,152249,119764,260023,663187
68035,146878,134498,288884,606369
48716,108815,79201,159086,355091
