quality_1,quality_2,quality_3,quality_4,quality_5
60480.7802874743,135147.145790554,172883.839835729,313477.063655031,541158.090349076
60553.5420944559,134564.285420945,218660.973305955,385973.098562628,634822.449691992
68365.3839835728,152447.63449692,353141.318275154,640834.874743326,1240569.02669404
81307.1601642711,180645.872689938,449675.470225873,822380.464065708,1642321.85420945
91654.6036960986,203933.117043121,504456.985626283,923295.856262834,1844334.06160164
93301.1498973306,208448.100616016,412140.985626284,779671.396303901,1583193.6036961
82799.6714579055,184665.786447638,172696.188911704,385932.250513347,838849.178644763
62437.3449691992,138330.909650924,134792.453798768,294654.063655031,623205.028747434
81278.8295687885,182206.981519507,171878.151950718,353225.133470226,790898.911704313
61836.2258726899,138015.022587269,159554.907597536,359786.193018481,707898.895277208
60745.2874743327,134915.901437372,141636.273100616,308211.878850102,630548.04106776
73986.0780287473,165521.047227926,161198.480492813,347193.388090348,699435.462012319
69563.2073921971,155146.090349076,214802.882956879,480722.443531828,967168.694045175
60292.8377823409,134094.221765914,264572.229979466,588095.917864476,1183294.76386037
68780.9733059547,153816.993839836,317955.628336756,697997.640657083,1394576.58932238
86999.4004106778,194297.934291582,364616.566735113,832062.172484601,1666212.13552362
60336.2114989732,134049.32238193,129404.640657084,269704.763860371,559891.899383985
64559.1581108831,143479.609856263,144736.057494867,315585.564681724,662946.981519509
66647.8603696099,147548.349075975,139550.394250513,298492.513347022,603330.094455849
62201.2689938396,137651.511293635,129611.733059549,285541.496919917,642388.334702261
60270.7104722795,133731.133470226,132622.1724846,288036.48459959,582605.613963038
52364.7761806981,117367.542094456,114663.114989733,246041.975359343,462851.860369608
56230.4722792609,126408.973305955,160050.595482546,346544.907597536,666711.971252568
77061.6406570841,171926.326488706,311400.396303901,646473.550308008,1245120.48665298
71082.8295687886,159851.646817248,398084.751540041,727431.416837782,1452647.59753593
79996.7761806981,178359.938398357,444789.527720739,813613.860369612,1624559.42505134
88681.5174537986,198080.121149897,492539.227926076,902251.80287474,1803870.23203285
74024.6817248461,165875.26899384,298715.145790556,635071.18275154,1286570.91170431
58513.9938398357,129445.893223819,155329.281314168,343266.55030801,695851.509240247
71838.3367556469,159885.905544149,316468.353182752,594853.408624232,1189980.92402465
73839.0739219715,165509.041067761,365038.178644764,709841.121149898,1426661.80698152
53919.5646817242,120300.554414784,191137.983572895,438335.848049277,880900.283367552
55037.8316221768,121808.706365504,184974.58110883,406740.201232037,789911.942505136
84055.6262833681,189038.603696099,305214.106776181,680312.176591374,1405840.57494867
89947.7002053382,199541.190965091,495556.899383983,906640.431211498,1810955.1540041
65455.3613963043,145433.593429158,192235.841889117,400732.821355239,778082.798767976
46184.5831622174,104052.332648871,208703.264887065,394972.521560576,782784.414784394
71218.1416837783,158814.523613963,209859.14989733,408310.496919915,793206.921971254
83626.6406570841,186332.229979465,280164.882956879,586341.490759753,1125294.92402463
69022.1457905546,154754.548254622,340271.540041069,692363.008213557,1346662.23819302
56873.4496919918,128113.195071869,319516.234086243,584379.014373712,1167191.85215607
67629.2813141681,152231.845995892,370156.728952769,687218.3963039,1371966.39835728
60400.431211499,133939.260780288,262081.026694046,577498.829568792,1127396.42710472
60085.0431211502,133522.710472279,222324.275154004,505590.344969202,952579.613963045
47207.6591375773,104117.521560575,154178.326488707,335240.457905542,625841.449691989
55349.8562628333,123267.946611909,142966.529774128,304033.18275154,572910.554414786
72027.8993839836,160643.125256674,176187.059548255,363887.843942504,670374.644763865
72387.8316221763,161438.776180698,260707.712525666,501058.316221762,957739.601642698
65298.1047227927,145984.911704313,362843.712525668,664798.542094458,1327609.37166326
79240.0410677618,176964.55852156,436661.97946612,798337.12525668,1594444.10266941
95280.5133470227,211625.626283368,521129.30184805,955921.047227923,1906697.83367556
85526.7351129362,191504.517453798,324192.628336756,710174.57905544,1385446.75564682
54086.7843942512,120815.219712526,181898.607802875,384392.410677619,735298.977412738
58167.3531827517,129436.659137578,294802.665297741,549298.051334701,1089251.92197125
60689.8562628329,134391.129363448,201198.250513345,402044.661190968,844873.757700205
77723.7063655034,172605.599589324,174943.6036961,366963.271047227,744249.86447639
90865.3182751546,202804.168377824,318036.201232035,605965.708418895,1182698.52156058
76790.039014373,171352.41683778,429708.942505131,783203.529774118,1561783.12731005
55187.2156057497,120912.488706367,301705.330595484,550252.439425059,1096988.80082136
94950.5338809039,208583.552361397,526976.919917865,960574.969199177,1916372.25872691
63449.8213552353,140210.839835728,350180.42915811,639512.562628336,1274107.20533881
61512.3039014377,137928.229979465,284005.683778232,625290.229979459,1250254.10266939
60979.9075975362,135147.997946613,235647.782340866,546597.926078036,1105654.62012322
76231.3552361391,168527.774127312,375393.018480491,733500.989733055,1473230.57905543
75511.8665297739,167625.0862423,355689.326488703,688951.227926075,1379655.5338809
60520.9075975362,135662.287474331,227728.361396305,488636.969199181,981101.691991791
65032.8028747439,147087.094455855,341659.811088298,657080.862423003,1312239.72895278
85549.4866529759,191495.112936342,461237.330595482,846843.203285418,1691488.62422997
89708.4188911719,200714.640657084,274983.67556468,588242.64887064,1183136.61190964
65975.0924024638,147014.05544148,149251.919917867,312820.663244352,649143.221765935
61327.9425051333,136713.363449691,135406.168377824,306373.519507185,560046.891170412
60689.049281314,135400.145790555,136294.289527718,286655.733059548,539173.443531841
65344.5995893218,145891.568788501,143367.080082137,292612.045174532,587199.059548244
75614.7022587275,168863.552361397,274565.051334701,525686.406570852,1059950.39014374
79019.9589322386,176576.907597536,442179.852156058,808397.860369608,1614233.35934292
63050.2731006145,141301.314168379,353882.784394249,645623.100616015,1288393.17864476
79815.7700205352,178695.462012321,442948.56262834,813223.593429163,1626814.49691993
37238.1601642706,83363.3716632444,208853.548254617,381976.414784394,762254.119096488
56623.2053388096,126042.275154002,224958.724845994,504613.2402464,1010304.16221768
46614.8254620116,103875.852156058,229953.429158114,450939.240246408,899185.626283363
52541.8459958937,115762.020533882,202051.708418891,406859.205338813,787839.234086245
58183.7002053382,128672.279260779,239299.917864475,473033.552361391,923722.51745379
57330.7371663246,127707.429158112,252105.199178644,474907.375770025,939358.320328549
65017.3963039014,143682.123203285,147908.88706366,309205.679671459,581457.092402458
80644.1889117043,179389.845995894,196012.577002052,398273.737166323,746168.131416857
51038.4394250512,114427.679671457,149748.603696097,358811.601642706,785686.817248434
63091.2197125265,139343.950718686,340402.862422999,628347.49897331,1258857.33059549
76319.482546201,169912.845995892,347677.386036959,771397.921971254,1540845.72895277
67054.0041067768,148752.024640657,269181.527720742,570777.199178644,1122244.04928133
65258.6078028744,143860.997946614,228785.379876796,453257.893223815,870412.98151952
73509.7125256667,162886.221765911,233639.691991787,462331.560574949,870227.433264866
78295.0328542087,175089.332648871,233097.67556468,458317.250513345,858101.112936348
72287.2936344976,161363.564681726,195918.402464069,396229.527720749,773387.687885001
60738.6036960986,134577.638603697,125650.944558516,268025.092402458,529518.952772081
