quality_1,quality_2,quality_3,quality_4,quality_5
59715.6983240223,131027.82122905,135933.268156425,292231.284916201,598125.94972067
59573.7206703911,130962.687150838,135110.675977654,291752.659217877,597378.737430168
59591.9441340782,131595.145251397,133190.586592179,287721.513966481,587101.351955307
59394.782122905,132538.016759777,128797.703910614,271989.011173184,558762.877094972
57194.6033519553,128544.698324022,120195.150837989,251157.301675978,519929.837988827
58541.9273743017,132457.82122905,178549.832402235,354936.592178771,722615.782122905
73859.4916201117,169814.167597765,406508.480446927,754255.61452514,1507650.84916201
66976.4525139665,150157.765363128,371319.38547486,687030.139664805,1358411.34078212
70480.4413407821,157782.927374302,390863.027932961,717222.195530727,1431761.08379888
76364.3687150838,170856.502793296,423214.234636872,774808.793296089,1548284.75977654
68593.2122905029,153251.391061452,379644.698324022,695039.223463687,1389439.65363128
63278.966480447,141175.94972067,348591.87150838,638300.865921787,1278049.4972067
66535.2178770949,148031.072625698,365000.374301676,668201.195530726,1338483.45810056
70360.2569832403,155868.916201117,386035.877094972,708166.731843576,1411827.25698324
61810.3631284916,137533.491620112,337985.726256983,628990.865921789,1233619.88826816
87307.5139664805,195288,481931.374301676,882263.134078211,1762225.48603352
76500.6871508381,171416.932960894,424044.938547486,776779.318435755,1552545.80446928
68113.1843575418,152451.592178771,377275.33519553,696011.256983241,1388699.3575419
62758.7765363131,139900.860335195,346084.849162012,636241.340782123,1269977.575419
60896.1564245808,135054.748603352,334350.402234636,611233.17877095,1221278.45810056
63079.1396648043,139508.77094972,345981.988826815,633885.094972065,1266083.37430167
68415.7821229049,151658.787709497,376154.005586592,687979.86592179,1368292.46927375
60875.1675977653,136142.82122905,338636.899441341,619314.189944133,1109952.40223464
82252.1508379893,183903.938547486,439397.011173185,833942.793296091,1503380.55865922
65949.4916201113,147204.173184357,360048.424581006,667788.078212289,1297522.98324022
65348.4134078212,144985.245810056,358884.726256981,656972.005586591,1315879.26256983
78827.1117318438,175015.832402234,408828.888268158,793726.648044694,1514400.10614525
84199.3128491621,187855.340782124,425808.212290503,853540.268156428,1588153.27374302
66172.5977653628,148282.48603352,368324.441340782,673372.29050279,1345764.24581005
62371.4804469275,140142.51396648,344490.530726256,630706.256983239,1260945.7821229
60482.7150837989,134474.530726257,331484.284916202,606597.7150838,1214373.67039106
69849.8379888269,156564.284916201,390628.251396647,713099.541899439,1421519.30167598
77279.7597765364,173378.167597766,428205.463687152,788629.033519555,1565376.22346369
74286.2122905031,166679.346368715,411557.173184359,755503.793296091,1489164.18435755
73552.4301675977,164658.631284916,340390.558659216,642806.536312848,1211349.21787709
