quality_1,quality_2,quality_3,quality_4,quality_5
39044.1758241758,119352.857142857,30983.7362637363,56056.1538461539,111252.857142857
66926.6043956044,151679.417582418,137745.593406593,300364.087912088,592507.153846154
67397.5164835165,151346.373626374,146972.505494505,321761.252747253,655862.021978022
67332.2637362638,150649.846153846,141953.10989011,298118.67032967,596194.879120879
67364.8571428571,153188.417582418,143219.67032967,303810.615384615,622622.241758242
67315.1098901099,151369.395604396,139373.186813187,306252.967032967,620225.10989011
67417.3186813187,150705.230769231,141674.967032967,300441.56043956,598915.582417583
67589.010989011,150656.813186813,120963.538461538,216399.076923077,374156.45054945
67506.4395604394,150750.659340659,138784.21978022,281729.494505494,505835.758241758
68509.087912088,154713.758241758,144187.516483516,307350,621787.252747253
67573.6263736264,151468.681318682,143449.450549451,298171.648351649,608117.912087913
67322.8351648351,150798.912087912,141458.692307692,302991.098901099,597305.890109891
67238.4395604397,150798.923076923,139688.241758242,307533.230769231,610099.318681319
67251.7142857143,151149.483516484,140216.186813187,307663.758241759,620818.34065934
67365.1208791209,151006.637362637,146569.098901099,313165.89010989,624269.802197803
67435.5494505494,150878.901098901,144015.989010989,300355.879120879,542639.670329669
67422.0219780218,150954.285714286,141613.89010989,296236.131868131,590856.527472526
67415.3186813188,150713.791208791,141191.934065934,299173.384615385,556816.956043957
67367.4725274725,150729.824175824,139395.56043956,304138.681318681,602055.890109891
67271.3406593406,151497.241758242,140974.78021978,303042.472527472,610817.824175823
67176.4835164836,150745.164835165,141473.516483517,301572.637362638,617420.329670329
67421.2087912087,150865.087912088,102501.230769231,197217.263736265,400270.252747254
67378.6813186812,150645.142857143,131310.087912087,251821.494505493,477062.021978021
67319.6483516484,150957.263736264,133276.340659341,238971.615384616,442567.868131869
67410.2637362638,150693.032967033,126445.252747253,223491.89010989,395075.340659341
67004.1758241758,152347.142857142,129344.560439561,240511.043956044,418824.890109889
67133.2967032967,151318.175824176,140448.263736264,287618.373626374,565222.879120879
67382.8021978026,150558.230769232,142696.879120879,293804.703296704,543129.824175827
67565.0989010986,150640.065934066,147403.274725275,273003.516483516,473494.351648349
67608.5604395606,150766.439560439,133788.296703297,233412.582417582,413007.175824177
67804.2857142854,150703.186813187,100833.626373627,180376.813186814,331248.131868131
68107.1318681319,150948.725274725,92355.8131868131,165224.131868131,284500.901098903
67900.1318681319,150786.021978022,109523.142857143,192922.46153846,305886.351648349
69770.076923077,150920.604395605,84445.4505494507,150663.395604396,248271.197802201
68836.9450549446,152461.956043956,101364.241758241,187017.868131869,328029.582417578
39937.5824175826,121199.010989011,57852.4175824178,104550.21978022,185334.120879121
