quality_1,quality_2,quality_3,quality_4,quality_5
69764.4705882353,155787.388235294,189795.529411765,331495.623529412,665060.611764706
69594.5647058823,156301.011764706,203709.258823529,372256.435294118,759492.152941177
69799.9294117648,154905.482352941,255044.894117647,471420.541176471,980094.682352941
69342.8117647059,154944.670588235,146939.082352941,317203.694117647,677927.647058823
69557.2235294117,156473.976470588,242690.352941176,447684.235294117,925245.788235294
69846.6941176471,156658.117647059,229843.152941177,430021.317647059,898271.305882354
69361.4117647059,155760.141176471,218842.164705882,406374.282352941,858123.670588235
69637.0705882352,154773.788235294,320105.964705882,578853.882352941,1103683.32941176
69855.2000000001,155064.188235294,203992.423529412,376168.705882353,796253.882352942
69668.6823529411,154549.411764706,162115.411764706,343631.047058824,645906.811764705
68842.094117647,155753.976470588,148238.282352941,315069.341176471,619873.411764706
69130.5176470589,154220.976470588,144109.870588236,312816.552941176,672731.91764706
69039.5294117647,155752.235294118,145810.305882353,311761.411764706,626339.717647059
68977.6470588235,154687.05882353,228468.517647059,435292.05882353,864419.988235295
69687.3882352941,154998.282352941,184733.788235294,347196.047058824,737528.729411764
69635.8588235293,155422.976470588,160148.541176471,308642.082352941,667260.988235293
69698.3058823529,155417.317647059,174979.05882353,327421.741176471,682760.564705882
68981.2352941178,155608.094117647,184402.588235294,344709.576470587,707294.670588236
69564.8470588236,155564.611764706,156274.729411765,328135.905882353,648089.08235294
69795.9882352939,154983.941176471,145912.023529411,317773.752941177,623879.635294119
69777.929411765,155720.894117647,161754.588235294,313725.317647059,675251.199999999
69568.8,156128.576470589,154601.752941176,330462.917647058,642717.105882352
69676.658823529,155553.74117647,155160.235294118,341180.847058823,635748.611764707
69469.6588235297,155721.588235295,150230.741176471,324404.223529413,627736.082352944
69855.2470588237,154226.964705883,149147.152941176,316488.282352941,640474.588235293
69947.3411764705,154265.588235294,200940.294117648,416904.882352941,903810.388235297
69087.7176470589,154089.176470588,174682.729411764,366596.423529411,875714.988235291
69480.3176470588,154385.752941177,147193.411764706,316844.717647059,685066.870588236
69875.1529411762,154875.905882352,146262.117647059,314853.082352942,628973.882352941
69872.8823529414,155762.988235294,148645.094117647,315513.188235294,623394.164705884
69567.5294117644,156306.564705883,148386.776470588,312921.882352941,632588.611764703
69421.8470588238,155950.047058824,160774.894117648,312449.517647058,663707.199999999
69437.317647059,155498.494117647,155672.235294118,312902.400000002,650073.600000005
69338.9294117643,155095.870588236,148883.435294118,312988.48235294,654672.917647056
69295.6705882354,155032.611764706,149988.776470589,320843.717647059,639291.670588236
69405.9882352944,155447.764705882,152790.894117647,330826.752941176,625036.835294116
69374.5411764705,155392.94117647,209877.74117647,405466.588235296,759281.929411765
69468.6470588241,155085.894117647,238617.011764706,432421.552941175,810351.988235295
69209.5999999996,155069.505882354,245553.505882354,438776.894117648,816046.964705884
69541.3411764707,154455.952941176,245856.670588234,444978.388235293,820324.341176469
70106.2588235294,153777.788235294,215538.635294118,404116.376470588,764873.458823528
70123.1647058823,153313.752941177,204879,384499.682352941,731176.741176471
69665.1529411767,153704.682352941,204137.788235294,371117.929411765,710049.529411763
69551.0588235292,154485.352941177,176608.623529412,348137.352941174,671191.505882353
70103.2470588232,154591.952941176,151954.070588236,333208.894117648,640568.705882356
70224.2823529411,154620.423529411,147406.447058823,319689.035294117,634540.270588234
69832.9882352939,154745.05882353,145405.694117647,314621.529411763,629123.764705881
69238.2588235298,155878.635294118,146123.905882353,316340.482352942,626020.447058819
69360.8470588233,156252.705882353,173832.705882354,350543.011764705,682188.14117647
70018.8588235294,154947.05882353,208533.129411764,384605.117647059,749635.02352941
69937.2941176472,155088.91764706,186355.199999999,350310.89411765,693142.682352945
69157.9411764704,155233.094117646,155318.294117648,310771.094117645,612581.894117653
68968.7058823528,155086.588235294,181829.929411765,354033.317647059,693494.964705877
69698.9647058826,155905.74117647,213468.176470587,403236.447058823,814960.282352947
69832.7999999998,156249.247058822,196882.164705882,369136.305882353,772436.117647052
69850.1529411767,156692.211764708,212144.458823532,400094.929411765,803331.623529419
68999.5764705883,154387.05882353,223352.376470586,435085.741176471,827126.258823529
68222.8941176469,154211.576470587,224106.6,440445.14117647,832525.764705881
69651.8352941182,154358.047058824,228603.317647059,458498.494117647,885610.63529411
69465.3058823524,154459.282352939,161350.482352942,331026.870588236,649905.83529412
68804.4705882361,155838.635294119,165790.447058823,343528.235294119,685987.905882359
69514.5882352926,159218.741176469,186851.305882353,368109.623529408,717606.18823529
70117.2235294133,157927.105882354,174465.200000001,355587.83529412,711652.352941178
70226.2235294115,161237.752941176,146856.211764704,309326.047058821,616699.83529412
69820.1411764706,155251.529411767,149960.423529413,319397.082352947,636526.070588239
69712.7764705885,156578.035294116,150149.894117648,325552.235294115,694789.717647053
69513.9529411756,154825.341176471,151076.611764703,340733.294117644,728864.541176468
69868.8470588243,154759.211764706,161365.505882356,365221.705882356,773097.611764714
69865.364705882,155326.305882351,177860.235294117,396541.270588238,833760.51764705
