quality_1,quality_2,quality_3,quality_4,quality_5
69119.5094850949,152877.617886179,231308.349593496,438619.907859079,760077.672086721
54956.2005420054,158574.98102981,32343.9891598916,55875.2899728997,103513.837398374
56379.4525745257,155977.775067751,36945.7425474255,63234.029810298,110184.043360434
57383.4308943089,145296.558265583,45124.135501355,76711.4146341464,134081.869918699
58740.9349593496,153272.154471545,32314.2682926829,53243.3875338753,88476.6666666665
68500.3739837398,153638.157181572,94194.1734417345,188278.693766938,386377.674796748
69182.2953929539,149717.720867208,110162.899728997,205053.747967479,405219.341463414
69096.1734417344,154824.818428185,144351.344173442,310727.66395664,626779.284552846
69139.0189701897,152854.265582656,133827.390243902,249874.376693767,473267.365853658
68273.5230352303,154970.514905149,151982.655826558,289943.089430894,567144.444444444
68754.2086720868,152775.547425475,160091.154471545,359139.756097561,712254.539295394
69103.7073170731,153409.653116531,154864.823848239,339317.821138212,683023.333333333
68425.5284552845,154144.065040651,148657.333333333,326660.861788618,672224.680216802
68741.2303523034,154513.300813007,144149.447154471,271038.63414634,510565.40921409
68663.3875338754,153100.447154472,150072.682926829,315645.528455285,685674.024390245
68968.3089430894,153632.471544716,144512.330623306,307309.89701897,608658.856368564
68914.0054200541,153452.58807588,123933.352303523,243183.398373984,462000.74796748
67449.7831978323,152390.558265583,157922.68292683,344064.769647697,681127.84281843
69045.8130081298,152885.501355013,139254.108401083,275892.262872628,505550.314363142
69011.598915989,153447.262872628,104577.371273713,210258.130081302,403187.777777778
68995.132791328,153452.991869919,143331.552845529,304970.159891598,639872.176151762
68986.2981029812,153369.940379404,135618.341463414,266962.47696477,526710.097560974
68664.5528455286,153076.479674797,155630.501355014,338718.796747968,672942.257452575
64861.4742547423,153622.596205962,128804.807588075,240861.295392954,472489.506775068
69140.0948509485,154249.471544715,146150.501355014,322901.151761518,660000.257452574
69100.0704607046,152899.788617887,148173.479674797,315043.66395664,661547.295392955
69085.8915989159,153590.991869918,144916.750677507,313252.23306233,627327.975609755
69187.5718157182,153309.284552846,106418.894308943,199833.073170732,363771.203252034
69136.0650406503,152860.850948509,105669.333333333,194475.124661246,367664.010840107
68898.509485095,153044.823848238,121041.382113821,225497.208672087,445193.306233063
69100.3306233061,152776.566395665,141079.72899729,268189.406504066,506709.211382113
68886.8672086722,152996.384823848,158753.306233062,309268.932249322,618472.010840109
68674.8672086722,153646.983739838,146046.086720868,311538.70189702,631635.379403794
68981.7886178861,152817.929539295,149301.701897019,305282.785907859,562032.959349595
69536.0975609757,153578.482384824,156120.840108402,340376.138211383,670584.349593494
69278.6341463416,152797.279132791,129997.506775067,246035.799457993,461684.422764227
69014.2249322492,152789.243902439,150476.493224933,324252.157181574,647303.669376697
69046.5582655822,153394.162601626,155144.06504065,291544.981029809,543457.040650405
69158.8672086722,153700.211382114,147991.64498645,324098.723577237,658046.90785908
68880.0542005426,153735.528455284,145641.978319784,317742.113821138,649251.517615173
69116.6747967475,153252.937669377,143897.756097561,315184.081300814,624237.829268295
68990.8075880762,153589.35501355,146970.168021681,316787.479674796,648494.840108402
67802.5338753387,152784.834688347,148676.487804878,317840.45799458,660435.598915987
69061.9241192415,152897.441734418,144295.468834688,308477.85907859,640178.894308943
69152.3306233059,153315.650406504,147279.620596207,320172.073170735,658359.701897021
69015.5338753387,153560.514905149,148588.406504065,323604.991869917,594951.663956638
68809.8970189705,153812.224932249,132166.062330624,245899.073170733,434413.37669377
68609.8211382111,154103.544715446,153440.140921408,304536.406504065,575828.975609753
68913.1355013554,152861.528455285,150426.859078592,325328.853658536,662335.392953932
68813.1165311649,153487.533875339,148944.986449864,316718.455284553,645183.197831973
69095.162601626,152989.21409214,145724.081300812,273294.878048779,509679.856368564
69031.6910569104,153424.314363143,129774.135501357,250148.525745258,482392.36314363
68933.3035230357,152634.341463416,135215.612466124,265229.252032522,517424.214092143
68922.60704607,153704.953929539,158139.154471545,311829.149051487,603720.617886182
68813.6720867208,154772.01897019,159536.639566395,309395.90785908,615189.945799455
68460.3902439023,153745.826558266,146463.371273713,309966.493224934,636524.238482386
69085.2384823849,153000.048780488,144987.997289972,312170.891598916,629808.880758807
69006.0000000005,153826.796747968,141982.135501356,307968.834688345,615623.355013553
68998.2764227637,153211.92411924,137534.617886178,295698.563685637,583346.498644982
69217.4796747975,153042.222222224,107316.693766939,212918.699186992,400799.268292688
68961.4932249319,153912.818428185,147183.663956638,310932.314363144,645731.013550129
68712.0596205955,153197.457994578,146795.66395664,309394.76422764,639046.932249323
68788.9268292682,154035.788617887,147218.168021679,324043.848238483,658518.769647695
68443.2791327927,154636.395663958,146222.135501357,308990.319783203,615380.222222231
69814.1869918695,155351.124661244,135994.485094851,258337.506775063,474803.563685633
72913.5176151758,161342.1300813,72862.1355013549,133006.596205961,240612.027100265
69217.9512195122,159703.30081301,113590.349593494,221617.634146344,429364.387533881
68823.7289972901,155144.948509485,104721.111111112,220366.558265582,434326.590785906
67437.2059620591,151649.815718157,104048.994579947,211437.58807588,419656.289972901
63620.8401084011,148702.303523036,43912.41192412,79331.8428184316,138215.82655827
69141.9214092148,153244.100271003,30733.3766937647,53648.8428184278,98751.2845528424
62895.7831978314,150600.173441734,39253.0731707327,64548.1842818409,118716.466124661
64467.9620596208,141990.1598916,23932.6178861782,42152.9376693778,81354.8672086746
