quality_1,quality_2,quality_3,quality_4,quality_5
68058.4959349594,152159.024390244,329995.772357724,650597.073170732,1177947.80487805
67989.7723577236,153190.74796748,374833.991869919,688640.357723577,1366766.26829268
68057.0731707317,152987.788617886,356911.845528455,689871.739837399,1256965.31707317
68022.9105691057,153170.390243902,358214.414634146,688780.219512195,1296658.54471545
68008.7886178861,153256.804878049,372482.934959349,689995.040650407,1321343.96747967
67998.8617886179,152846.219512195,376825.162601626,690219.837398374,1359743.04878049
67982,152704.081300813,376507.219512195,689234.341463415,1379475.84552846
67963.8211382114,152691.536585366,376991.341463414,689588.544715446,1380125.20325203
67984.1544715447,152342.577235773,349391.073170732,664886.333333334,1263533
68023.1951219512,152140.121951219,287787.308943089,576957.146341464,1021348.84552845
68019.3089430894,152493.130081301,251317.073170731,501036.016260162,897444.146341465
67996.2520325204,152624.796747968,294306.154471545,575493.25203252,1073879.17886179
68003.2520325204,152414.658536585,363370.723577236,674768.406504067,1328221.39837398
68125.4390243901,152942.50406504,304898.252032519,617921.455284551,1123086.10569106
67990.0894308945,152416.276422765,374355.975609757,686784.796747968,1370585.9593496
68019.2276422762,152246.910569105,285247.682926829,610556.504065041,1170302.64227642
68065.7317073173,153322.764227642,301840.691056911,573240.569105692,1046443.53658537
68061.2113821139,151762.056910569,284051.650406504,566049.658536585,1024164.35772358
68041.2601626015,154230.178861789,359535.577235772,666365.723577235,1312778.28455285
67918.1300813009,152961.967479675,330596.764227642,629186.284552846,1154443.85365853
67968.0975609757,152038.682926829,236654.170731708,458951.211382113,827961.81300813
68067.7235772358,152691.300813008,307276.38211382,571472.68292683,1066531.34146341
68079.6097560977,152594.178861788,338170.967479676,638420.918699186,1179155.17886179
68034.349593496,152738.300813008,299521.162601626,591895.032520328,1082006.94308943
67999.2195121949,153343.804878049,321197.991869918,629257.186991867,1153563.31707317
67989.2926829269,153338.357723577,350910.845528455,681352.398373988,1236452.69105691
68012.56097561,153364.227642276,309469.308943089,623146.585365854,1115675.16260163
68081.0813008128,152253.341463414,271614.487804879,524958.634146336,915469.674796741
68130.7723577232,152370.390243902,302369.097560974,599079.707317073,1061127.03252032
68083.6097560981,152788.853658538,319917.487804879,620896.756097566,1126347.41463415
68047.2764227642,153275.365853658,332072.317073172,644142.113821134,1163816.82926829
67988.4796747966,153288.227642275,329979.520325202,641885.788617887,1151395.09756097
68027.5609756098,152252.11382114,228741.260162603,433504.512195125,772827.804878049
68048.7317073168,153053.227642276,284782.300813008,552952.902439024,1001237.21951219
68007.8130081301,153600.081300813,318697.056910567,612616.991869915,1118268.12195122
68021.2601626022,153001.154471545,251272.325203253,482685.325203251,857296.975609757
68009.7642276417,152913.268292682,285154.081300814,570830.284552846,1007489.73170731
68087.6829268294,152634.105691057,326000.162601624,638743.902439024,1140095.08130081
68079.2845528452,152497.382113822,342305.487804879,657406.252032518,1185700.06504065
67991.6260162606,153019.162601626,353194.398373984,673293.008130081,1208187.08130082
67998.8943089428,153386.93495935,359165.910569107,664920.504065044,1178726.11382113
68026.2845528456,153144.609756097,361540.422764227,671655.560975611,1196314.56097561
68026.2195121953,152812.642276423,307574.959349593,599810.203252029,1065718.08943089
68064.2601626012,152252.837398374,255907.658536585,501257.146341465,866384.829268292
68018.8130081305,152743.325203252,279364.894308945,540979.138211384,964672.788617894
67981.9105691058,152218.195121951,308615.308943087,594059.861788616,1063043.40650406
68097.7642276417,152675.121951219,182226.38211382,351659.715447154,612107.601626009
68070.5447154469,153362.634146342,296572.918699188,577968.886178859,1031051.89430894
68240.3252032525,153534.024390244,282352.560975609,555716.747967482,960008.943089433
68008.7560975612,152467.747967481,326384.585365854,636284.715447158,1141730.84552845
68044.1382113816,152511.252032519,280504.658536587,542689.560975611,968025.845528461
68005.5528455283,152710.235772358,270836.463414634,513118.008130077,904947.44715447
67957.4715447156,153015.878048779,223831.853658536,415988.447154474,739667.707317069
67993.9024390243,153246.05691057,241611.219512194,452582.76422764,819760.772357725
68041.7073170734,152960.146341464,298124.569105692,559052.357723583,1004787.64227643
68076.991869919,152633.813008131,306540.463414636,573725.788617887,1028120.14634147
68104.2276422768,152887.943089431,292896.918699186,557674.390243903,1004680.52845528
68055.7479674788,152933.357723575,261962.186991867,497559.292682923,866194.886178851
68009.7154471548,152406.138211384,270816.788617887,500871.544715449,874792.235772364
68074.6341463411,153763.016260162,311206.04878049,576318.869918697,1027602.29268292
68026.1056910572,154971.780487804,330713.113821138,614603.487804875,1074455.31707317
67957.520325203,152310.487804879,367146.382113822,689209.02439025,1278592.43902439
68072.1300813016,152848.341463415,376592.211382117,689025.829268292,1377320.17073171
67988.333333333,152446.512195122,376652.073170729,688484.967479676,1376721.08130081
67979.6341463411,152303.983739838,274551.544715445,539754.674796745,1013365.36585367
68057.0569105688,152713.650406502,264751.284552846,513594.089430891,933018.89430894
68060.0325203259,152667.49593496,245735.796747968,477073.341463417,860590.951219514
68050.658536585,152853.065040652,222483.44715447,424563.032520331,761329.666666657
68039.7479674798,152954.560975609,191180.487804879,357668.89430894,659708.406504065
68010.325203253,153145.487804879,189718.739837401,352825.040650405,649249.959349602
67982.2601626012,153026.487804877,214088.398373984,397125.829268292,712333.390243903
67986.7317073168,152359.439024391,242434.032520324,447784.666666672,807052.723577231
67033.5365853654,149831.804878049,277469.382113818,510690.170731701,918258.552845523
