quality_1,quality_2,quality_3,quality_4,quality_5
68186.9637883008,152219.707520891,242258.189415042,450437.82729805,770917.116991643
68056.1532033426,154553.506963788,286947.763231198,531820.203342618,928698.938718663
68349.8467966574,154181.192200557,243531.534818941,447869.793871866,770450.590529248
68052.6740947075,152588.456824513,162787.551532034,330039.713091922,632308.782729805
67992.0278551532,153757.512534819,218878.442896936,431018.6545961,789469.22005571
68334.1225626741,152119.30362117,252974.693593315,492199.094707521,882154.568245125
68195.4178272981,151993.587743733,227571.768802228,431924.860724234,766637.144846797
67974.6072423399,152569.094707521,221221.899721449,409049.935933148,711366.688022285
68262.286908078,153311.373259053,236850.944289693,438736.813370474,755670.367688023
68396.5905292479,153878.983286908,239386.713091922,455246.902506963,805824.467966573
67976.1977715878,152388.286908078,280366.699164346,542998.774373259,1032915.11142061
67932.103064067,152454.103064067,379000.955431755,703244.657381617,1399570.8189415
67947.5292479107,152934.022284122,371710.072423398,680195.426183842,1335477.36490251
68075.3286908079,153761.768802229,351142.25626741,643706.520891367,1125317.07520892
67915.4178272978,153705.278551532,384645.320334261,692476.727019498,1399633.73259053
67999.1504178275,152208.325905292,376779.108635098,691127.701949861,1377602.75766017
67949.3175487465,152057.91086351,375772.019498607,687584.13649025,1322715.15320334
67883.139275766,152319.395543175,376035.264623954,688421.181058496,1234462.59331476
68029.4011142061,152111.509749304,323844.295264625,600599.01114206,1056681.19220056
67947.8217270195,152161.200557103,247546.066852367,470444.331476323,827860.002785519
68038.6267409469,154824.275766017,245201.796657382,477036.640668524,868331.515320331
68140.5431754878,154204.818941504,314948.370473538,608720.320334261,1103843.60724234
68080.8077994427,152987.027855153,322886.543175487,622710.632311977,1111869.18105849
68024.4930362119,152855.484679666,326311.754874652,616210.317548748,1100398.69637883
68096.253481894,152657.378830083,378750.175487465,694326.545961002,1296760.86908077
68140.532033426,153496.601671309,376345.495821727,688839.086350974,1376441.40389972
68023.147632312,153167.21448468,376025.821727021,688889.582172703,1376477.77158774
67923.6016713097,152994.247910864,371821.997214485,680966.749303622,1334925.2172702
67997.1810584953,153657.938718663,349595.713091921,646714.245125346,1112198.37047353
67978.8718662953,153422.534818942,376604.38718663,689755.668523677,1345928.28690808
67967.740947075,152027.459610027,335376.389972145,664094.26183844,1218976.44289694
67997.7994428971,152177.454038998,253936.657381617,490221.027855158,877578.050139274
67994.7771587744,154661.3091922,192114.247910863,362495.403899718,647778.370473541
67995.9832869084,153272.824512535,152344.155988859,317411.147632312,619511.871866293
68019.0473537603,153527.342618383,150065.334261838,302136.055710308,601183.167130917
67999.8495821725,152500.545961004,295574.587743733,547444.27855153,1091761.18941505
67983.5376044568,152989.103064068,378273.016713092,692243.498607244,1382328.58217271
67990.8913649027,153282.590529246,379734.428969357,691739.470752086,1381311.65738161
67941.9108635099,153018.662952647,378593.958217273,688667.621169921,1308855.40668524
67896.0334261837,153054.353760446,332501.738161558,617719.715877432,1092307.33147632
67936.8913649027,152170.04735376,286397.167130921,543644.239554323,1005858.97214485
67862.217270195,152898.231197772,376917.908077994,690426.26740947,1379943.15320334
67791.6573816151,153844.484679665,377730.543175485,690380.181058493,1380379.65181058
67986.3370473539,152653.788300836,377426.78551532,690127.214484677,1378707.45403899
67986.3370473543,152907.437325906,375687.10306407,686501.782729812,1373259.24791088
67994.6601671306,153081.298050139,267113.855153203,561322.061281335,1036978.38997214
68103.6935933144,151968.406685237,369152.337047353,681120.813370474,1353178.70473538
68005.6573816156,151800.303621169,377174.637883008,690273.331476323,1341189.55710307
68006.6155988858,152014.3454039,304351.39275766,600826.699164342,1124113.56545961
68028.8997214488,151743.813370473,224036.033426184,456549.590529252,831819.47075209
68034.0222841231,152596.757660168,255541.401114207,514383.676880226,931442.428969368
68050.275766016,152736.114206128,321902.685236769,639888.919220053,1162526.01114206
68042.7743732594,152350.35097493,312135.877437325,622529.261838444,1130089.34540389
68021.6434540395,152207.520891365,293718.746518109,591848.760445684,1078094.58217271
68032.1002785508,152446.119777158,287212.181058493,580528.094707511,1065876.21169916
68032.3649025066,152792.635097492,214621.495821726,435442.431754876,799511.821727015
67991.2618384408,151834.557103066,195241.275766023,394168.356545966,723463.83286909
68003.2451253477,151848.863509748,230626.849582169,472415.370473534,873306.139275759
67955.3899721457,152185.153203344,297538.189415045,592054.651810586,1079887.66016714
67967.6740947068,152272.89693593,377789.484679662,691561.309192196,1381805.9470752
68013.7743732594,152281.194986075,375967.601671312,687652.927576609,1373873.01114206
68039.1309192199,152144.470752088,368242.364902508,688202.593314759,1314275.58495823
68022.4735376043,152404.74373259,268366.02785515,524288.094707519,945254.431754872
67993.7465181062,153267.933147633,315736.660167132,622699.278551534,1122880.26183844
68015.7938718656,152474.87465181,336694.596100278,663824.025069639,1198703.38440111
68053.6016713092,152133.442896936,352143.080779944,680661.325905293,1262024.74930361
68041.8885793872,151795.423398329,240322.311977718,474244.924791083,923357.412256271
68040.3871866297,151968.342618385,179392.746518105,364958.947075211,695679.431754887
68019.1727019493,152358.637883006,282195.891364899,536636.122562669,1019215.0947075
68030.3621169925,153065.752089137,305961.518105853,568157.841225632,1110643.67688023
69516.8941504173,157864.590529248,170884.548746519,336323.337047353,620475.582172707
