quality_1,quality_2,quality_3,quality_4,quality_5
69464.2883548983,153268.946395564,276975.452865065,483679.371534196,928203.401109057
69504.5804066543,153181.646950092,177424.345656192,310148.219963031,620708.852125693
69591.8225508318,153927.242144177,246733.001848429,439671.463955638,844746.628465804
68913.9112754159,154020.243992606,160975.929759704,318565.38077634,632404.177449168
67354.9537892791,153240.022181146,145969.097966728,316919.955637708,629066.15896488
69268.9279112754,154038.243992606,158294.426987061,312055.813308688,621553.077634011
68138.4288354899,153288.939001849,248577.41219963,429826.443622921,877582.502772643
68728.4306839186,153483.717190388,235128.0961183,406740.04621072,783882.404805915
69338.9242144178,153523.486136784,353767.234750462,642822.691312385,1276800.36229205
69344.6913123844,154412.994454714,261377.493530499,459768.060998152,924181.382624769
69362.2365988909,153734.473197782,260975.804066543,452864.306839187,890004.473197782
69140.8613678374,153949.131238448,211091.066543438,366976.28465804,711723.306839187
69018.717190388,153557.290203327,303195.91866913,514728.358595194,934473.293900184
69357.8613678374,153724.070240296,249209.510166359,424366.645101664,802298.639556378
68364.5397412201,154561.578558226,227732.402957486,391370.964879853,761561.242144177
68280.8225508318,154235.06469501,195365.277264325,332515.757855821,658317.587800371
68534.4140480591,154211.541589648,309348.669131238,528826.391866913,1001982.29944547
69022.7079482437,153670.495378928,377495.09426987,650044.44547135,1200463.34011091
69241.8484288359,154982.129390019,301202.41404806,519948.613678374,976353.157116452
69024.8780036967,154743.33271719,279616.432532348,485406.297597042,907671.329020333
68928.0961182993,154329.020332717,272700.092421441,469640.147874307,867599.556377079
68506.8890942701,153501.258780037,308595.234750462,530233.493530497,976979.408502772
68251.7449168207,152829.98521257,365908.099815158,640400.835489836,1167451.19408503
68619.2550831796,154273.628465804,347153.469500924,603143.523105361,1116901.07393716
68819.9075785577,154138.362292052,318387.057301294,545265.17190388,1025937.46765249
68238.8447319779,153391.617375231,274171.765249537,474024.066543439,902621.69131238
68356.170055453,154097.929759705,197005.153419594,353845.208872458,695667.918669134
69057.9186691316,153865.987060999,169804.996303142,308913.865064695,612876.937153421
68528.465804066,153995.907578558,193127.534195933,332028.676524954,659359.563770793
67954.7837338266,155036.155268023,240545.961182996,406589.402957488,784183.199630316
68353.9371534195,154853.548983364,264188.040665435,448774.048059147,854627.744916823
68604.4510166356,153537.691312384,264172.164510165,452624.473197782,865310.290203325
68195.2199630318,153288.051756008,272392.95378928,460426.269870611,859579.685767099
68838.46025878,153988.648798521,186209.197781885,337551.192236599,650881.286506467
68978.728280961,153527.330868762,149229.390018484,307287.929759704,623439.404805914
69007.7634011093,154228.964879853,161459.519408504,303008.548983365,615171.746765252
68869.3049907577,153751.818853974,212397.578558225,371544.6987061,715051.297597043
68855.0480591496,155139.837338261,276865.188539742,500017.258780036,933690.50462107
70477.5231053606,160399.885397414,167861.567467652,299076.783733824,611421.918669134
71168.9131238451,159397.663585952,145475.12754159,299500.452865068,607657.939001847
69016.1552680219,153067.874306839,179576.820702402,330836.284658041,668102.088724587
68548.5896487981,154449.428835489,264528.046210721,477924.192236595,1009590.17744916
68321.9556377078,154302.473197782,382744.817005545,694951.789279114,1376786.27356747
68838.8983364147,154156.903881702,377487.597042516,683860.711645108,1361778.54343809
68686.2920517558,154533.027726431,334056.177449167,606999.438077629,1188090.20332716
68944.0388170052,153825.619223659,329146.931608131,599943.955637708,1139604.39001849
68262.1404805919,154787.060998153,366243.534195937,656428.621072091,1275323.08687617
68786.3696857668,153384.434380776,375978.722735671,670503.550831791,1301313.00924213
68360.9463955639,153769.271719038,377525.918669133,681761.903881703,1300846.0443623
69074.3807763401,153694.121996303,240285.933456561,438047.449168202,906105.046210721
68721.9112754157,153830.87245841,163472.621072089,303422.3974122,632479.890942693
68227.5046210727,153004.6025878,376154.343807764,699342.717190392,1198230.11090574
69056.0092421435,153714.611829943,284334.541589648,500367.144177448,930015.885397404
68636.9057301297,154550.920517561,304620.587800371,539109.190388169,1092735.43438078
68589.2495378931,154303.279112754,373660.286506472,681831.872458413,1357074.30683919
69031.208872458,154139.001848428,379672.085027725,697973.238447316,1326749.98890942
69306.4787430684,153958.937153421,378692.652495379,693237.855822552,1334083.974122
68509.6377079478,154602.695009241,302428.110905727,546716.513863217,1086956.49537892
68946.3234750465,155364.861367838,302331.223659892,544745.395563766,1083430.63401109
68029.5489833648,154618.044362292,322553.149722736,579023.360443629,1146366.79852127
68799.9223659886,153567.146025877,251155.123844732,458667.985212564,951397.380776331
68599.5378927905,153779.722735675,229370.887245841,422166.672828097,899651.016635865
68767.3752310537,153369.767097967,236429.571164507,437878.765249539,938513.622920513
69158.3622920513,153004.543438077,319768.195933457,571794.20702403,1133686.51386322
69311.4695009254,153311.903881701,293014.959334567,527056.182994455,1049598.07763401
69320.5249537891,155026.643253235,184858.195933457,366437.020332716,733428.007393725
68981.2199630309,154507.060998151,282278.438077632,516585.295748614,987277.310536034
69088.4953789273,153483.519408504,250396.565619223,456244.155268021,928977.674676523
69155.1016635867,154851.85767098,181668.064695008,335857.391866915,732730.804066546
69418.2033271715,154506.746765248,158675.438077636,309535.153419591,699580.953789286
69999.1164510176,155469.974121999,145195.756007396,307587.963031426,658732.160813309
69903.733826247,156998.428835489,146267.597042512,320321.090573013,637325.046210714
69198.0517560076,155117.933456561,145952.768946394,320481.687615529,630966.476894647
69285.1682070233,155390.029574862,144060.698706098,313377.818853967,615954.044362292
68226.1682070252,156454.330868762,241161.632162664,464726.173752308,871071.720887244
67374.6173752304,154324.070240296,250637.523105364,478521.105360448,900597.471349359
68705.3419593349,153831.340110905,192654.205175597,389572.828096122,751661.090573013
69322.8909426983,154247.20887246,220617.674676526,416521.179297596,791215.763401106
69341.9667282812,153428.946395561,192648.014787428,359464.412199631,707047.192236587
69366.1552680219,153649.534195933,220238.07763401,417123.064695008,798850.857670978
69298.1885397416,154022.49537893,253221.3974122,469430.948243991,853736.756007403
69146.9685767097,154182.088724583,317438.853974126,591680,1077011.97781886
69247.5194085026,153773.863216266,266526.181146026,485283.245841034,917666.351201475
69082.661737523,153657.719038816,205424.473197781,379690.68391867,723260.107208863
