quality_1,quality_2,quality_3,quality_4,quality_5
65759.0322580645,147193.548387097,85031.6129032258,141296.129032258,227494.838709677
63184.5806451613,146277.709677419,115850.193548387,197151.064516129,312910.129032258
66783.6774193549,148629.741935484,141185.290322581,280576.967741936,471205.806451613
75648.7741935484,168753.870967742,156972.096774194,276979.741935484,459799.935483871
60347.8064516129,135238.580645161,115449.032258064,207290.709677419,328644.129032258
59599.193548387,132042.096774194,72456.9354838711,124648.870967742,195847.741935484
65842.8387096775,149964.967741936,108421.35483871,197745.870967742,321721.161290323
85058.0322580645,198034.35483871,135523.548387097,234890.258064516,370159.387096774
72055.8064516129,166353.290322581,136645.741935484,261157.483870968,499170.580645161
54882.4838709678,113577.387096774,95405.5161290322,171010.64516129,312997.741935484
51037.4193548387,97837.7419354841,78278.0645161292,128673.870967742,213426.451612903
47573.2258064516,93302.0322580643,76860.6774193547,127366.806451613,212313.580645161
