quality_1,quality_2,quality_3,quality_4,quality_5
69142.2727272727,158041.590909091,133865.53030303,236788.106060606,379756.590909091
67884.5757575757,155209.106060606,137518.378787879,286073.924242424,553486.53030303
71151.4242424243,176112.348484848,107196.090909091,178357.060606061,293411.833333333
70636.6969696969,162719.318181818,108145.212121212,173171.393939394,288211.590909091
69399.6818181819,154776.393939394,82709.3030303032,134542.515151515,223965.196969697
67102.3484848485,148884.696969697,133367.121212121,288986.818181818,538040.530303031
67939.2727272727,152683.196969697,102458.621212121,172704.045454545,297467.015151515
71038.0909090909,163052.712121212,114340.318181818,183311.712121212,302918.924242424
68880.3181818182,155273.681818182,116218.424242424,186550.196969697,309306.151515151
68452.9242424241,153553.681818182,77529.0909090908,128097.46969697,226740.454545455
67730.2272727273,151546.439393939,94447.5757575757,156359.090909091,273220.681818182
67537.9848484849,140795.833333333,87775.696969697,146201.212121212,252775.136363637
62661.196969697,120240.727272727,78376.5909090911,131713.045454545,226888.893939394
