quality_1,quality_2,quality_3,quality_4,quality_5
69472.828125,155157.5625,68210.046875,131806.015625,254870.6875
69422.828125,155834.03125,124975.984375,236752.359375,420792.59375
69879.15625,155611.046875,96945.203125,178755.75,330628.015625
70153.375,156137.359375,81578.1406249999,150338.1875,283429.265625
69537.4999999999,159367.34375,74747.2656250001,140975.46875,264797.5
69931.4375000001,155683.34375,87387.203125,163317.59375,303095.40625
69827.6874999999,156157.796875,78135.4843749999,144383.28125,267615.21875
69360.9375000001,161812.265625,73689.2968750001,136319.84375,260730.0625
69540.9375,160415.484375,63551.828125,118772,239345.828125
69508.28125,155431.640625,65166.640625,121595.9375,245656.640625
69725.0156249999,156339.3125,76986.4843749998,139767.078125,272109.921875
70307.3906250001,155598.6875,116815.046875,210115.296875,388078.671875
69506.9375,155120.265625,63837.3125,125120.53125,243768.890625
69533.1562500001,156171.078125,58452.1250000002,112523.3125,211494.109375
69552.8906249999,158659.0625,61333.6718749998,114647.5,214848.90625
69484.640625,156501.96875,62061.265625,116414.34375,217014.28125
69481.671875,160800,65280.6875,121063.671875,230835.0625
69464.703125,161664.9375,60744.59375,113425.296875,220819.65625
69659.109375,160236.75,66801.015625,124705.078125,231581.703125
69707.578125,157792.8125,65976.640625,123684.453125,228896.953125
69524.765625,161360.375,62961.96875,120379.71875,223485.46875
69696.296875,156020.21875,62604.8125,118430.65625,220242.1875
69783.21875,158186.3125,62948.21875,119039.765625,225308.71875
69464.28125,160411.84375,94766.6874999998,192656.484375,359729.625
56070.078125,127814.84375,111314.84375,228637.5,413170.46875
