quality_1,quality_2,quality_3,quality_4,quality_5
64817.7799043062,153095.866028708,96197.985645933,200474.5215311,444699.081339713
64812.2488038278,152846.535885167,151941.550239234,311347.339712919,648447.464114832
61452.8325358852,151775.870813397,75704.7990430621,158537.38277512,333551.081339713
55887.6172248804,115953.894736842,21094.976076555,35522.6794258374,59220.6698564591
54204.8564593302,105900.693779904,21170.9569377991,36335.3588516746,60605.9569377992
54199.8086124402,105872.985645933,21064.1913875598,36695.7129186603,60809.5693779902
54351.1818181818,105769.497607655,21448.2344497608,35905.076555024,60247.0574162684
53087.9904306221,105913.741626794,21806.7846889952,36748.7751196171,60752.8325358848
53288.8564593301,106009.105263158,21946.9234449761,35905.8947368423,60175.7655502395
53142.4401913876,106214.784688995,21721.1961722488,35904.0669856459,60564.1148325359
53305.0191387559,106129.655502392,21944.8755980861,35905.875598086,60183.8803827749
53205.5885167465,105698.784688995,21729.1866028708,35904.0861244019,60650.038277512
53305.3684210526,106012.559808612,21941.6267942584,35905.8564593301,60182.9569377992
53225.2535885167,106124.889952153,21695.3110047847,35929.224880383,60553.8181818181
52926.6746411484,106032.057416268,21401.7703349283,36282.0574162679,60175.9808612445
53883.9617224879,105808.23923445,21267.5023923444,36268.5933014355,60797.8373205736
52378.966507177,105576.928229665,21532.014354067,36249.2153110045,60178.9665071769
53770.5933014355,105278.842105263,21216.3444976076,36565.7224880385,60038.296650718
52396.8708133971,105588.430622009,21533.7703349283,36222.9234449761,60251.9043062204
53772.5837320575,105400.43062201,21273.5885167465,36262.8229665069,60785.3588516745
52343.8564593301,105317.210526316,21565.3923444975,36288.4019138757,60180.976076555
53463.4928229665,105662.995215311,21589.3875598086,36870.6220095693,60160.4976076554
53664.7751196173,105730.885167464,21585.2392344498,36339.3301435409,60882.7942583733
53909.4258373205,104781.18660287,21581.3397129186,36526.5071770335,60889.0334928227
53892.5837320574,105443.397129187,21585.6698564594,36341.5071770335,60882.8708133972
53859.4832535884,105087.85645933,21584.4114832537,36553.4354066984,60889.8277511965
53433.7894736843,105398.626794258,21591.5885167463,36522.4880382777,60814.6650717705
52547.5598086123,104695.885167464,21605.7511961722,36268.3062200956,60360.0956937796
53044.9425837321,104792.899521531,21260.8229665073,36091.3062200958,60665.7320574163
53225.0239234453,105141.818181819,21233.6842105264,36067.4641148325,60617.7990430621
53161.5789473683,105343.971291866,21232.6794258371,36097.0717703348,60782.124401914
53330.3827751197,105097.799043063,21211.5789473685,36102.6985645934,60756.8038277514
53135.9282296649,105355.464114833,21236.4976076554,36089.8851674639,61076.4114832534
53135.2727272725,105119.789473684,21284.8421052631,36169.789473684,62216.1052631577
52655.23923445,105029.976076555,21538.2296650718,36727.8947368423,60140.7177033494
51658.6507177032,105135.990430622,21468.976076555,36542.4401913874,60379.2057416267
51689.6650717708,105384.535885168,21479.4641148327,36258.1818181821,60381.827751196
51700.0382775115,105123.645933014,21468.4019138755,36542.3923444971,60379.2440191386
51639.961722488,105423.200956938,21476.038277512,36261.4593301439,60381.7894736845
51530.6220095698,105173.971291866,21468.5167464116,36534.1148325359,60379.282296651
51970.8325358848,105492.665071771,21548.8995215311,36283.4736842106,60395.6794258375
53236.5071770335,105278.124401914,21811.4641148327,36630.8325358853,60546.5167464111
53215.0143540669,105682.913875598,21696.9090909087,36245.2918660284,60798.8086124398
53097.406698565,105690.765550239,21695.7320574166,36034.6028708136,60414.5071770339
53033.5406698561,106157.296650718,21697.1052631577,36246.8181818184,60792.5598086123
53047.7224880387,105740.899521531,21696.5358851675,36056.0765550239,60420.7559808609
53115.0478468896,106048.71770335,21633.2296650717,36334.6889952151,60810.148325359
53499.789473684,105138.373205741,21371.2248803827,36412.937799043,60450.3732057419
53667.1913875602,105108.181818183,21371.234449761,36490.4306220096,60681.3253588518
53650.2870813394,105026.220095694,21675.023923445,36484.1626794259,60641.1483253585
53702.9282296654,104833.722488037,21375.7320574161,36487.5358851673,60514.937799043
53643.0526315789,105232.344497608,21666.5263157894,36484.976076555,60638.5837320574
53698.8133971286,105200.373205742,21382.1818181819,36487.234449761,60516.5023923442
53402.9569377997,104864.755980861,21748.0478468901,36405.4736842103,60698.7846889962
52659.6172248805,104969.904306221,21477.1052631582,36149.665071771,61201.7224880382
53181.4449760765,105097.196172249,21241.6842105261,36067.8851674637,62103.2631578948
53075.3540669861,104853.373205742,21256.5358851675,36086.8851674646,60654.6746411482
53209.61722488,105225.196172248,21234.2200956936,36071.8851674637,60644.1913875593
53193.7320574163,105373.19138756,21228.6602870813,36098.1435406697,60777.3014354073
53355.358851674,105156.172248804,21215.5980861245,36101.6267942586,60761.6267942581
52871.4976076558,105322.062200956,21427.7177033492,36027.296650718,60665.172248804
51732.7081339713,105230.488038277,21770.7368421052,35954.3923444971,60371.2057416262
51760.7799043059,105508.923444976,21474.6602870815,36311.4114832538,60381.3301435411
51894.9952153107,105364.488038278,21471.1196172249,36484.1626794254,60379.7416267945
51654.4019138757,105546.961722488,21477.3205741625,36317.1291866028,60381.2918660278
51749.7416267945,105675.789473685,21470.0095693781,36483.4449760769,60379.7799043069
52468.3110047844,105323.928229664,21593.6842105261,36349.5502392338,60404.3349282295
53178.038277512,105278.822966509,21793.4736842106,36585.2248803834,60607.0334928231
53088.2440191386,105855.933014354,21696.3157894737,36203.4545454541,60717.5741626788
53157.4641148327,105453.492822967,21696.6507177034,36079.1387559813,60495.7416267945
53193.0813397132,105671.889952153,21696.6411483258,36197.3301435406,60711.3253588518
53102.4976076558,105802.880382775,21695.9999999998,36082.5645933012,60501.9904306224
53068.7129186601,106165.770334927,21696.9712918659,36201.937799043,60705.0765550239
53203.4066985645,105605.502392345,21595.7607655502,36123.9712918662,60310.3157894732
53568.7320574159,105085.693779903,21554.1387559809,36419.4258373207,60488.468899522
53712.3157894742,105332.449760766,21603.8660287079,36486.3636363638,60690.6794258365
57831.3540669857,124170.320574163,49818.4976076554,101765.196172248,219413.459330142
65369.7703349278,155208.200956939,108293.282296651,234747.416267944,535024.53588517
67114.2535885177,153755.794258375,121158.172248804,263726.866028709,595756.77990431
58365.9330143537,138478.37320574,96895.0239234446,193554.641148325,410026.84210526
25903.9665071769,71732.2822966501,41846.0526315789,60205.9521531099,85469.7846889962
1520.54545454495,3654.88995215297,5599.89473684225,6380.61244019074,8567.02392344363
959.593301435933,2345.40669856593,3598.73684210517,4192.80382775143,5856.59330143593
