quality_1,quality_2,quality_3,quality_4,quality_5
68195,153710,330864,649265,1317795
68180,153965,284889,541103,1136224
68195,153400,317947,695474,1383303
68152,152906,310314,632944,1378209
68177,147975,205690,355789,727754
68470,166139,105003,217955,525120
68482,152675,112819,204926,394218
68442,152697,145679,289611,631424
69013,153852,137228,300185,595407
69343,154553,107444,191419,381526
68272,153307,177835,338237,696060
68318,158111,141571,255451,507251
68183,152360,307073,588249,1192477
68101,153572,329549,691955,1377175
68158,153058,378547,693259,1377649
68475,152548,379938,694933,1384579
68236,155054,182347,351896,754618
68195,153807,360304,690438,1379778
68141,154550,176849,325077,692135
68152,154506,338766,703327,1377710
68228,152771,377424,689726,1373671
68197,152558,359241,692975,1380640
68181,152527,305948,582011,1205729
68160,152582,304326,577654,1155281
67178,144762,150956,323321,649282
45215,105457,17840,26313,40976
51526,124944,18504,26859,43036
68254,152413,181137,340808,697181
68037,153756,142364,296902,617207
68069,153890,158661,299794,623359
68408,153985,385052,699624,1398002
68179,152548,377803,693220,1377545
68193,152875,276601,591915,1377989
68239,153298,249092,496472,1113438
68048,153166,378950,699005,1381950
68180,153112,377248,692097,1380041
68179,152561,376978,689273,1376775
68317,153270,235543,487477,1093761
68258,153402,381169,690186,1405934
68079,152569,380066,695880,1391124
68094,152613,266555,589331,1380013
68223,152957,171132,331612,744807
68301,154347,378007,693213,1385143
68321,152819,377429,697532,1378870
67948,150085,254505,537190,1211088
68403,156062,143304,310050,620530
67243,152638,306263,677853,1396737
68203,153249,294012,606360,1380051
68187,152931,315881,690756,1377927
68160,153383,297597,610779,1341336
68151,152618,376866,689538,1376955
68222,153504,381090,694896,1377047
68232,153927,377832,689913,1374515
68143,153939,378013,691702,1380548
68272,152517,327028,646732,1304579
68208,152377,381149,689655,1374978
68223,152491,358995,693111,1377047
68419,154524,204224,442796,1138507
68221,153016,344805,691914,1377078
68209,153645,378357,692227,1378676
67918,156982,347616,693189,1404066
68158,151876,320194,690831,1378854
68235,155151,378453,695343,1377437
68189,152610,290978,548255,1051780
68187,152970,201905,392582,868247
68257,153488,377323,690314,1375445
67955,157209,205449,393356,776118
68379,153513,34636,57960,100505
68136,157358,145207,315225,639425
68208,152653,173616,328415,709462
68168,152606,373261,689962,1377859
67987,153680,234153,478717,973415
68174,153643,377072,689678,1375982
67576,158883,299670,619340,1363247
68352,151079,290413,630529,1377131
68222,152669,153660,316570,748059
68331,152678,118634,248732,587507
70506,154685,180375,411191,883824
68171,152611,381529,693577,1380537
68071,153524,379511,693405,1384933
68224,152620,377539,691125,1378870
68282,152563,153302,305184,605654
58561,130062,120809,260113,529095
