quality_1,quality_2,quality_3,quality_4,quality_5
68251.875,153044.0625,132536.25,278951.25,643818.75
68165.25,153382.6875,136949.75,290813.625,674657.25
68164.75,152332.75,137901.1875,288479.1875,662328.4375
68131.125,152295,124962.5625,269065.6875,610020.5625
68068.875,152246.4375,111107.6875,245964.6875,564549.9375
68199.375,152081.5625,130611.5625,280224.6875,649870.9375
68179.3125000001,152344.5,153185.0625,329717.4375,679288.125
68130.9374999999,152390,152648.9375,316886.9375,606790.5
68155,152400.5,127408.25,252205.1875,490824.5625
68184.75,152766.375,113859.75,223333.6875,441503.4375
68207.5000000001,153001.875,122162.5,236329.6875,466012.1875
68193.4999999999,152920.75,119541.75,229657.6875,455616.8125
68167.4999999999,152889.75,129126.9375,247889.8125,489369.375
68155.1250000002,152867.625,134509.9375,264372.937500001,520176.375000001
68191.4375,152465.375,157334,330954.9375,649512.625000001
68119.6874999999,153078.75,203506.875,443181.5625,733768.124999998
68060.625,152606.25,173646.5625,360276.562500001,609336.562500002
68075.5000000002,153637.875,171135.3125,365232.562499999,600166.5625
68107.4374999998,153501.9375,173386.125,367577.1875,606815.124999998
68100.1875,153818.4375,165738,352176.1875,602848.5
68162.5,153148.6875,157328.4375,324629.625000001,626685.500000002
68142.5,152595.3125,154158.4375,324777.499999999,608719.374999998
68117.25,152634.5625,147591.375,319595.8125,607888.5
68114,152606.9375,143537.25,307568.0625,619065.375
68144.625,152863.75,145021.25,309754.6875,616136.75
68151.75,153755.25,147000.75,312713.0625,610305.75
68091.8749999998,153865.9375,151586.25,309786.562499999,632384.0625
68081.0000000002,152858.3125,156354.25,318557.937500001,659048.4375
68142.9375,153058.3125,148307.625,317763.5625,621139.125
68139.6874999998,152466.9375,153790.25,322487.4375,655410.625
68104.4999999998,152403.0625,154113.999999999,304132.75,658349.6875
68180.6250000005,152498.4375,156178.125000001,309622.5,647399.0625
68132.8125,152489.0625,161742.187499999,338956.875,656499.375
68160.8125,152348.187499999,116087.3125,228627.249999998,479902.5
68154.6875,152536.375000001,113656.625000001,224350.812500002,475359.8125
68154.1875,152459.625,148500.375,318915.5625,634970.0625
68142,152410.812499999,127142.5,257569.625,541217.4375
68101.875,153712.187500001,120130.625,231229.375,497579.6875
68094.1875,153150.1875,124321.3125,240130.5,519030.1875
68153.4375,153296.5625,141160.5625,285163,590066.4375
68166.125,153753.75,147931.75,303068.125,643138.25
68115,153076.875,142242.375,298619.625,648448.5
68118.4375,152826.5625,145850.3125,317944.375,647699.6875
68154.6875,152924.0625,147413.8125,309915.375,635990.3125
68134.6875,152686.875,147297.75,310432.3125,632924.0625
68097.8125,152808.75,146148.999999999,309425.6875,635064.6875
66379.3125000005,148541.5625,142076.375000001,300944.375,609036.0625
48405.9374999995,119001.5625,36238.125,65578.125,117405.9375
