quality_1,quality_2,quality_3,quality_4,quality_5
67194.0983606557,151343.606557377,368424.590163934,680122.62295082,1191727.86885246
67208.606557377,151163.704918033,371468.409836066,679375.934426229,1311519.14754098
67282.0655737705,150554.983606557,296325.37704918,570267.180327869,1049451.73770492
67117.3278688525,152661.786885246,358243.377049181,696654,1220857.37704918
67162.6885245902,152200,340824.131147541,649750.360655738,1156087.3442623
67193.606557377,150192.540983606,215875,404478.852459016,717209.180327869
67165.081967213,151357.573770492,295660.62295082,537042.196721312,952747.278688524
67225.0655737705,151579.868852459,363950.278688524,666675.295081967,1234346.5409836
67204.4590163935,151128.327868853,276281.442622952,490123.147540985,851480.065573772
67175.7540983607,151342.475409836,355005.344262294,647043.442622949,1271930.40983607
67175.5737704918,150755.901639344,372184.098360656,681044.918032788,1361408.36065574
66296.0000000001,147597.754098361,262742.737704918,488625.24590164,919104.999999998
