quality_1,quality_2,quality_3,quality_4,quality_5
67916.8,151547.2,207802.933333333,402776.266666667,692652.8
68153.4,155592.8,152908.266666667,306993.133333333,616935.6
67979.6,153373.6,143643.2,303431.6,624700.8
67901.4,151969.2,193858.2,410284.2,698287.533333333
67959.4666666667,152098.533333333,174381.066666667,375304.133333333,636323.6
67942.1333333334,152124.266666667,193392.933333333,403172.066666667,709361.066666667
67981.3333333333,152209.2,171316.8,358322.133333333,676091.6
68030.1999999999,152549.6,145018.066666667,306527.2,608629
68001.0666666669,152420.4,146772.933333333,307505.466666667,612592.4
67966.2666666666,152009.866666667,143336.6,302545.8,618158.266666668
67978.9333333332,152109.466666666,146929.6,307332.533333333,618355.333333332
67983.2000000001,152101.066666667,180408.8,366481.466666667,670086.200000001
67958.8,152072.933333333,258384.266666667,528706.533333334,897594.800000001
67955.4,152001.8,256549.466666666,526039.333333333,889117.933333334
67983.9999999999,152585.066666666,152377.866666667,326744.133333333,608005.066666665
67981.2000000002,154291.2,156380,330647.333333334,606116
67998.5333333332,152635.866666667,149971,322635,661639.000000002
67975.8666666667,151983.733333333,149006.799999999,323097.866666665,659174.799999999
68021.7333333334,152240.2,148538.866666667,321401.133333335,665123.066666666
67974,152382.666666667,206018.666666667,427940.666666667,745437.466666667
67954.8666666667,152083.533333333,213958.866666666,437172.599999999,743301.066666668
67965.3333333333,152011.066666667,192422.8,397646.133333335,673838
67969.0666666667,152012.466666666,186113.2,390628.466666665,655771.199999999
67972,152000.666666667,174180.399999999,365864.000000002,644347.199999999
67959.4000000001,152012.933333334,150958.733333334,316210.133333333,611086.866666667
67948.6666666665,152078.533333333,145317.866666666,307049.866666667,624180.133333333
67987.7333333334,152490.933333333,142854,308406.4,618253.399999999
67947.2,152338.800000001,143038.8,311251.866666667,618187.466666669
68119.1333333335,153258.399999999,150856.933333334,318404.199999999,623771.800000001
67910.2666666664,152026,254323.066666666,530693.333333332,892730.533333331
67885.0666666669,152068,280070.933333333,543258.799999999,954723.466666665
67956.1333333328,151956.2,294733.2,586998.6,1030940.73333333
67896.7999999998,151737.199999999,244135.466666667,502439.199999999,834914.800000001
67958.6000000001,151879.600000001,208771.333333333,443646.6,743516.666666664
67967.0666666669,151956,186094.400000001,381985.466666671,637720.000000004
67975.7333333334,151962.399999999,154829.266666666,322299.133333333,616275.93333333
67963.3333333335,151956.000000001,141315.6,311420.266666666,632907.866666667
67966.7333333334,151968.133333333,144610.666666667,318628.333333332,638977.266666669
68004.1333333328,151948.266666667,146012.933333334,314530.800000001,630813.866666667
67989.7333333334,152155.533333334,143887.866666667,310331.800000001,626190.733333331
67941.4666666668,152578.266666666,144317.2,311539.733333334,644580.933333334
67988.2000000002,152342.600000001,169549.533333333,362994.466666665,705410.933333334
67938.2666666666,151820.666666666,249962.933333333,519327.333333334,839090.933333334
67914.2666666666,151994.466666666,201889.533333333,422301.533333331,728512.733333331
67893.4666666668,151778.666666668,164400.133333334,333326.933333335,601396.133333337
68080.1333333333,151829.066666666,140611.333333334,307677.066666666,618034.666666668
67944.9333333331,151719,200544.799999999,416212.333333332,710788.799999997
67932.1333333338,152421.733333333,174976.666666666,370335.600000001,643102.933333334
67938.333333333,152133.266666667,161465.200000001,330348.399999999,610819.600000001
67948.1333333338,151926.933333334,187948,380334.266666669,661715.333333336
67938.1333333328,151785.6,206701.199999999,420878.133333329,703481.266666666
67983.5999999996,152233.333333333,172116.800000001,357264.666666668,658922.93333333
67988.2000000002,152893.066666665,177873.733333331,360625.066666666,648042.266666666
67930.0000000005,152936.000000002,238018.266666669,466088.266666666,770830.800000004
67922.4000000004,152277.666666668,232673.333333334,450492.200000003,789931.399999999
67944.9333333327,151739.599999998,155939.066666665,307421.199999999,610620.266666666
67915.0666666669,151947.133333333,141982.400000002,306605.199999999,633760.933333337
67994.2666666666,152019.066666668,147072.666666666,319820,651736.533333324
68056.7999999998,152055.799999999,150343.066666665,326521.133333333,669560.06666667
68068.9333333336,152127.733333334,144165.466666669,314097.466666669,638593.200000003
