quality_1,quality_2,quality_3,quality_4,quality_5
68457.4145299145,153710.423076923,148949.051282051,310303.012820513,612128.790598291
68483.858974359,155662.115384615,280543.683760684,705912.123931624,1387527.50854701
68650.1239316239,154796.5,383205.354700855,702209.811965812,1403230.44444444
68498.5683760684,153693.525641026,378458.311965812,694187.658119658,1385910.88888889
68728.141025641,153685.769230769,321338.525641026,694264.166666667,1389130.14957265
68391.8675213675,151997.179487179,336258.713675214,691593.252136752,1380077.73076923
68470.6153846154,153185.085470086,270565.20940171,627249.961538462,1231623.61111111
68730.3931623931,153910.282051282,379469.61965812,694551.123931624,1387284.5
68439.094017094,152942.311965812,378080.606837607,690613.465811966,1380949.64529915
68348.0769230769,153463.653846154,379283.034188034,693285.833333332,1384171.13247863
68639.641025641,154113.47008547,383687.141025641,701040.004273505,1399284.89316239
68488.8717948719,153681.658119658,381630.594017094,693848.739316239,1389268.91025641
68521.9999999999,153014.358974359,374678.042735043,689001.679487179,1372214.46153846
68619.9658119659,153172.94017094,305933.367521368,626569.072649574,1179740.4957265
68431.047008547,152940.662393162,378914.551282051,692647.542735042,1382522.60683761
68465.7649572651,153439.431623932,381572.277777779,701035.987179488,1402580.07692308
68569.4487179485,153213.35042735,379851.435897435,694234.696581196,1388577.61538461
68588.0299145298,152895.282051282,382561.709401709,698566.329059828,1398610.84615384
68538.6153846157,153194.213675214,376884.183760684,692667.585470086,1384224.97863248
68382.393162393,153221.068376068,340309.123931624,660917.500000002,1319008.22649573
68545.106837607,153446.282051282,175302.807692308,350067.44017094,685496.538461536
68518.3034188033,153565.803418803,372600.269230768,691968.380341878,1381424.64102564
68584.170940171,156691.256410257,320793,692958.123931626,1384194.06837607
68332.2564102565,153181.324786325,378768.435897437,691880.79059829,1383594.3931624
68463.247863248,152954.551282051,379698.632478633,694383.846153846,1385405.27777778
68556.2051282052,152936.833333333,365798.760683762,677918.427350428,1352137.9017094
68499.8547008543,153513.666666667,246671.247863246,555879.944444444,1140940.35897435
68524.0598290598,153541.957264957,336507.863247862,698391.72222222,1398919.57264957
68460.9743589747,152926.196581197,364118.71794872,679233.726495728,1353675.74786326
68519.9145299147,154816.538461539,271394.700854702,595667.17948718,1178094.2948718
68545.991452991,153885.64102564,378482.145299142,695775.264957268,1390534.61965811
68506.9487179485,153501.316239317,354326.692307694,683450.752136748,1365474.84188034
68440.636752137,150963.529914529,294447.55982906,629668.905982908,1256103.96153846
68583.0213675215,154365.00854701,347079.517094018,694376.188034188,1386720.66239316
68464.4444444445,151417.072649571,381166.41025641,698830.02136752,1394651.17521367
68456.8547008545,153395.893162393,379191.93162393,694037.047008544,1386045.12393163
68473.764957265,153210.162393163,343159.756410258,637737.666666672,1271445.25213675
68997.2606837605,154566.136752138,162218.927350426,370039.777777776,740305.277777776
70483.384615385,160210.88034188,267136.752136752,673367.414529912,1391597.94444444
68545.2136752135,153463.547008546,380416.23931624,695988.952991452,1391521.85897436
68468.67948718,152741.987179488,378524.794871796,692527.521367524,1383777.39316239
68622.901709401,151820.209401709,380818.042735042,697848.025641028,1390463.96581198
68582.6153846155,153134.987179487,374033.568376068,694030.589743592,1383557.05982905
68524.8547008545,153245.995726496,307934.576923076,619539.22222222,1247035.14529914
68627.670940171,153443.632478632,146008.995726496,307958.0982906,655535.256410263
64532.799145299,145362.393162393,142422.67094017,290530.12393162,591424.034188032
