quality_1,quality_2,quality_3,quality_4,quality_5
68427.9325463744,152733.792580101,243562.768971332,495193.806070826,917475.546374368
68404.0354131535,152556.150084317,378457.504215852,692815.603709949,1380921.51096121
68273.3659359191,152610.559865093,350497.145025295,692186.418212479,1259370.03541315
68456.6543001686,152762.386172007,379842.453625632,691395.040472175,1380536.41146712
68349.831365936,152469.34232715,378922.681281619,693012.217537942,1380859.58684654
68355.1888701517,153010.566610455,357125.414839798,692757.303541315,1281487.77403035
68374.1821247893,154067.438448567,376872.586846543,690446.60539629,1379083.539629
68308.8903878584,153005.627318718,289696.413153457,605061.981450254,1161660.5143339
68427.3119730186,155831.318718381,276042.942664418,528211.269814502,929657.623946035
68402.4030354131,152921.998313659,289071.618887015,636296.509274874,1234053.74367622
68333.7605396289,153069.875210793,253407.768971332,524300.497470489,966373.349072512
68433.3322091062,156079.932546374,311132.554806071,598780.490725126,1066724.00168634
68281.7335581788,153472.946037099,295128.640809443,551113.871838111,1008071.36424958
68456.78920742,153188.094435076,303980.97301855,589842.699831366,1087245.11129848
68348.389544688,152726.635750422,375247.141652614,689676.011804385,1372009.98313659
68344.2563237775,152775.284991568,308224.156829679,643670.571669478,1187858.39797639
68387.6745362561,152941.087689713,347492.613827993,693075.236087687,1383450.42495784
68365.925801012,153915.839797639,378745.055649241,692650.2074199,1381262.62057336
68337.408094435,152643.730185498,374543.086003373,690690.686340641,1379776.68634064
68349.0219224282,153387.715008431,311048.178752106,657711.880269814,1306440.70826307
68355.1180438451,154547.617200674,249991.460370995,496362.940978076,923157.025295109
68217.2006745364,153809.666104554,372244.411467118,687027.630691402,1366767.49072513
68413.5598650926,153330.084317032,289364.109612141,602588.949409781,1148475.67284991
68370.4772344013,153610.728499157,362539.133220911,693180.642495785,1275934.43676223
68351.5682967959,154696.003372681,373549.064080943,686460.817875208,1364471.55986509
68433.0067453624,153564.298482293,325785.772344013,627500.556492409,1187227.77571669
68388.6087689716,154143.83979764,378346.045531198,692803.812816191,1381565.55480608
68362.3069139963,154524.421585159,363902.625632377,669894.168634065,1335035.06576729
68347.4553119731,152208.755480608,231246.509274874,471806.089376055,912892.094435073
68495.0168634066,154978.347386172,276411.155143339,595556.20573356,1139158.70151771
68262.8516020237,156002.541315346,268291.131534569,579855.578414839,1072899.60708263
68289.4603709946,153004.521079257,367869.57335582,679107.065767284,1344653.35919056
68339.8229342327,155315.426644182,287001.047217537,579530.696458682,1066778.13659358
68349.5463743676,153545.232715009,363982.556492411,665731.037099496,1311760.42158517
68366.8634064086,153096.079258011,256412.065767288,468517.259696461,799167.689713322
68443.4064080943,153374.70994941,319422.659359189,615455.291736927,1111004.42495784
68383.7925801007,154404.730185497,379170.738617199,694663.650927488,1383704.85666104
68307.0084317038,153703.755480609,379437.902192246,693864.713322096,1385992.61214166
68324.6593591901,153533.489038785,378480.725126475,692171.716694769,1381423.33389544
68376.2225969648,154256.68634064,378463.575042157,692942.352445193,1383392.53794266
68385.0219224282,153954.541315345,380959.672849916,697865.681281619,1392096.36256324
68495.4957841481,154006.42158516,378567.696458684,693111.799325462,1382280.68634063
68420.8094435078,153273.001686342,378096.011804387,693011.364249583,1381144.96458686
68343.2967959531,152899.924114671,378867.42664418,694345.846542999,1381546.49747048
68419.9156829678,152794.367622259,380474.308600336,705255.278246209,1381201.34064081
68410.2529510963,153764.701517708,353038.907251267,648528.161888704,1281403.99831367
68265.3743676222,153337.146711634,206882.241146712,397993.915682964,718284.652613819
68402.4991568299,153659.568296797,155484.283305228,306652.070826307,616668.637436762
68314.4283305225,153226.600337268,154139.811129848,304025.428330522,612963.85328836
68338.6256323778,153426.365935919,149161.652613828,316034.974704888,632228.229342327
68386.1551433387,153520.89376054,152457.519392917,315745.730185498,624790.622259699
