quality_1,quality_2,quality_3,quality_4,quality_5
63908.5578947368,144107.863157895,134236.357894737,287735.126315789,571520.526315789
63894.5789473684,143135.452631579,211635.168421053,401716.842105263,719054.336842105
60999.1789473684,135489.168421053,138268.789473684,288709.042105263,584630.357894737
54641.6526315789,126552.305263158,129235.084210526,255734.410526316,502252.768421053
60930.5578947368,138021.105263158,133947.494736842,282490,562209.957894736
67386.4947368421,151723.715789474,141756.284210526,309562.852631579,630987.336842106
84638.1473684211,189533.105263158,196133.936842105,380210.526315789,769172.768421053
92736.7999999999,207723.252631579,247271.368421052,445531.663157895,838249.936842104
90920.0842105263,203993.336842105,231446.52631579,450762.347368421,848574.168421052
87189.0526315789,195010.694736842,193466.463157895,408009.136842105,822386.842105263
77486.8105263158,172220.315789474,182017.936842105,358149.221052631,704198.842105263
72590.3473684211,160604.905263158,199356.747368422,396616.768421053,728240.000000001
78182.4105263158,176331.189473685,269724.957894737,530095.968421053,979012.336842106
74785.2736842106,168116.263157894,155507.263157894,336343.578947368,677690.389473684
63694.894736842,143128.589473684,138977.726315789,282907.621052631,574072.326315789
63756.789473684,142636.084210526,168425.47368421,330975.07368421,598701.126315789
68807.0631578949,151160.042105263,148540.252631579,328839.915789475,677398.136842106
87822.8526315789,194430.336842105,190699.652631579,415996.326315789,843075.305263158
83955.6526315787,187917.47368421,178625.115789474,393040.978947368,793663.736842103
78552.8,175698.063157895,240877.978947368,465605.494736842,845423.905263159
51854.8526315792,115719.031578947,144613.421052632,297693.947368421,556652.557894738
64617.0105263155,143732.747368421,140550.389473684,310647.789473685,618525.526315786
78450.0421052633,174896.357894736,199891.547368421,391233.147368422,735898.37894737
80195.9263157893,179257.473684211,240175.989473684,441452.189473685,787523.136842106
82129.8526315792,183839.284210527,282198.284210526,529788.82105263,962725.189473685
86379.0315789473,193103.894736842,307445.884210527,578370.673684211,1061410.04210527
79742.8421052634,177416.452631578,237456.568421052,450486.578947369,817208.515789472
63198.7789473683,140408.694736842,138389.157894737,304328.589473683,606752.67368421
80203.1999999997,179942.494736843,192202.842105263,407075.67368421,834185.431578945
64210.7263157894,145880.252631579,231200.07368421,506996.010526316,1006004.75789474
63684.789473684,142343.894736841,261957.568421053,520826.136842106,1011158.07368421
63747.4210526319,142863.736842106,156936.042105263,310419.821052631,581645.915789474
63588.9894736842,142161.326315789,137554.273684211,304732.768421054,614205.894736841
