quality_1,quality_2,quality_3,quality_4,quality_5
68407.0601001669,169652.87312187,140489.969949917,254669.452420701,408491.242070117
70229.3322203673,158903.445742905,112284.56427379,185479.275459099,296456.831385643
68217.9666110184,152796.375626043,143333.829716194,308069.348914858,629786.293823039
68272.5876460768,152946.838063439,218795.846410685,439394.664440734,825555.41903172
68390.8180300501,154118.180300501,385163.247078464,703490.893155259,1400357.67111853
68252.7045075126,152736.29048414,271015.482470785,583172.173622705,974853.595993323
68345.9883138564,153803.828046744,376161.964941569,688674.015025041,1376131.1836394
68266.9782971619,154112.681135226,222107.111853088,436286.424040067,831340.714524208
68208.8814691151,155034.38063439,306242.113522537,607667.904841402,1100617.85308848
68287.5125208682,153125.792988314,271864.040066778,536963.756260435,978849.098497495
68270.3155258765,153109.707846411,215811.143572621,435272.026711185,781815.759599332
68298.1502504174,153558.951585977,200489.70951586,404740.267111854,780296.954924878
68266.1202003337,153163.307178631,286568.464106844,541165.175292153,963042.140233722
68326.6911519201,152994.210350585,270077.562604341,507426.277128548,910109.035058431
68317.5375626043,153428.163606009,208835.859766277,409348.397328882,754529.699499164
68266.7111853089,153646.116861437,217716.367278798,438561.749582638,845329.49582638
68300.267111853,153800.300500834,249286.964941569,478237.013355592,868923.983305506
68280.8313856428,152821.442404007,230012.484140234,436959.956594324,789569.368948247
68281.8030050085,154506.425709516,216011.045075125,427549.260434058,793533.430717865
68281.2353923204,153778.130217028,253549.549248748,505071.652754592,958700.901502505
68267.0884808016,153174.035058431,378423.360601002,692823.395659432,1383786.89148581
68328.4240400665,153471.849749582,379597.689482469,695543.262103505,1379364.8981636
68267.7662771286,153470.651085142,368098.687813022,687102.432387313,1200291.38397329
68363.7395659431,152746.497495827,286144.948247079,557559.025041737,1031146.93823038
68266.4858096829,152975.792988314,378696.285475793,693246.786310516,1385280.21702838
68347.2320534224,153843.191986644,376746.47078464,696457.075125208,1378246.75125209
68244.0100166947,153215.754590986,330490.337228715,630626.113522539,1151773.83806344
68251.4323873122,152698.190317195,224334.958263773,449205.682804674,843314.704507515
68286.8263772954,153230.899833054,305681.262103505,585659.225375624,1067580.29048414
68306.94490818,152979.215358932,376945.292153589,692278.898163605,1205908.44741235
68308.5893155262,153228.836393991,326365.903171955,644644.048414025,1180569.43572621
68301.3288814691,152833.682804674,160128.841402337,304850.203672787,610003.218697831
68267.4490818027,152908.156928213,199159.737896493,371891.158597665,657667.47245409
68440.6978297164,153924.006677797,151284.110183641,330904.130217027,675053.168614361
68271.9282136895,154305.742904841,257994.682804674,513616.335559268,926318.15525876
68332.5876460765,152595.245409015,259665.01502504,487666.797996659,911344.52754591
68239.2203672789,153503.559265442,282814.260434058,544045.38063439,951180.373956591
68316.6544240401,153283.402337229,270549.639399,513768.524207015,923935.292153589
68229.5909849755,153674.504173623,267168.901502503,529257.89148581,983782.522537567
68301.6360601,153324.540901503,180984.040066779,364347.378964938,719885.409015022
68328.4524207017,152988.459098497,173059.751252087,332351.452420704,649010.105175301
68343.8864774616,152988.190317195,171611.198664442,320199.626043405,625084.818030044
68267.7929883143,152916.565943238,231225.373956593,435773.233722869,795497.492487475
68315.6060100165,153177.923205343,228904.120200334,464147.332220368,885869.475792989
68263.4974958268,153418.497495826,379386.611018365,694863.580968283,1388563.42237063
68282.1202003337,153426.036727879,378764.383973289,693363.2754591,1385672.3706177
68253.7512520868,152830.996661101,377069.502504172,692301.091819696,1378727.26377295
68300.4340567612,153141.515859768,345769.762938231,665108.994991653,1265605.10183639
68301.0617696159,152956.449081802,160217.345575958,352934.989983302,712662.130217031
68367.2787979967,153725.459098498,150341.986644408,314943.739565946,637540.317195326
68436.2454090151,152861.784641068,196988.929883139,382099.217028383,705094.312186979
68330.4641068443,154472.200333889,202719.465776293,406680.774624374,763566.597662769
68533.6661101836,153539.574290485,214990.395659432,428676.988313854,829437.691151917
68280.2504173629,154060.988313857,373546.086811356,686147.699499171,1359473.84974959
68282.787979967,153822.562604341,331470.016694492,636141.74457429,1121923.33055092
68266.3238731218,152751.545909848,373926.530884804,689121.402337227,1242854.1702838
68307.2103505838,152846.153589316,318815.123539234,641517.175292153,1177049.72954925
68362.8146911515,152934.968280466,211092.871452419,436560.550918195,837782.584307171
68315.9415692822,153149.186978297,198088.338898163,359816.771285474,651214.176961601
68322.1702838065,153666.51085142,149280.100166947,317096.994991653,656313.956594326
68283.6210350581,154491.891485807,211381.153589314,411856.66944908,768065.646076791
68238.5575959939,153404.71118531,232145.856427377,463625.278797995,870559.442404009
68247.2153589316,153010.823038399,361220.168614358,674949.971619368,1172726.43906511
68259.7662771279,154249.896494154,273931.525876461,513209.696160264,890245.569282129
68261.6110183643,153099.415692823,276920.951585975,528719.632721201,923021.803005002
68284.727879799,153532.918196993,378673.522537563,684896.944908179,1351880.04340568
68338.7362270458,154070.475792991,371686.547579303,616595.771285485,1101203.29716195
68274.4507512525,152881.803005008,330867.752921533,639527.405676126,1166641.28881469
68395.9081803001,153161.318864774,286126.958263773,608644.828046739,1126326.37562604
68324.3572621038,154199.966611018,316855.792988315,691415.909849748,1283102.50417363
68319.8480801331,153573.444073455,324441.624373954,674649.365609348,1272336.49081802
68342.3839732884,153712.066777963,377379.365609348,695884.006677791,1391271.54590984
68146.9916527551,152905.210350588,356081.617696162,652678.195325553,1295202.75292155
68303.4424040075,153117.619365606,199545.929883141,375624.467445746,690321.532554254
68314.4824707834,154268.3639399,196513.39732888,368859.51585976,682261.352253765
68307.0317195328,154890.691151921,281873.609348916,530888.607679464,983082.691151917
68275.9749582633,153247.542570949,371395.292153589,684972.419031717,1352866.3238731
68285.6093489155,153245.699499168,321794.023372285,629499.806343913,1137117.50584307
68244.9482470779,154164.310517529,318386.282136895,602500.84140233,1119109.95826378
68221.1018363945,153092.554257095,378699.699499164,692569.883138567,1383999.59933221
68310.2604340557,152932.953255424,371192.829716194,680184.190317191,1337262.17529215
68289.0150250429,153626.681135226,331690.217028379,617114.851419039,1097003.68280467
68333.696160268,152895.826377299,358035.813021705,658414.51085142,1301343.14023374
68288.393989983,152482.858096827,226485.996661104,438473.889816359,777649.081803009
68296.7362270439,153089.18196995,190256.010016691,368732.754590988,649982.729549244
68350.8781302171,152878.864774624,189429.308848083,357561.782971613,637745.606010005
68311.6227045078,152962.252086813,232639.362270456,431219.043405682,758936.99499166
68467.1252086814,152852.527545908,309082.176961601,557107.926544242,975025.883138567
68259.7095158603,153352.657762939,245875.313856427,445403.123539232,792825.175292164
68326.0767946579,152676.961602671,218104.156928215,399875.158597663,729637.111853078
68254.886477462,152919.387312187,290290.043405671,533045.893155254,962729.482470781
68314.0233722869,153727.799666109,278653.322203677,529224.647746243,977290.671118528
68389.9131886475,154664.133555928,351481.217028379,646416.816360608,1227658.68280467
68233.7128547579,152105.699499162,202635.979966611,379624.848080128,683355.415692821
68281.8697829722,153317.537562607,188574.565943237,347602.637729555,632985.45075126
68308.3672787976,153262.237061769,212957.689482469,399235.993322194,716248.50751251
68314.9115191987,153228.851419033,232579.96994992,432223.287145257,766199.305509195
68348.030050084,154663.736227043,241148.7245409,419432.520868108,714899.906510845
68289.0250417357,153045.16527546,237074.499165274,449805.495826371,827370.065108523
68359.9332220359,153484.641068447,159521.869782973,340717.86310517,678133.889816344
68401.9732888155,153327.677796328,219349.16694491,428243.664440744,770361.360601008
68367.5659432383,153425.489148581,245524.517529212,459607.12186978,814580.944908187
68271.0684474129,155966.315525876,309449.702838067,561871.896494165,1024507.26377296
68270.5843071789,157033.856427375,345306.79131886,643809.722871445,1155398.23706175
68293.1218697829,153820.16694491,334119.065108519,635501.46911519,1137445.24207012
68233.0851419037,152758.497495828,269618.681135226,531647.796327211,973079.839732885
68257.6811352242,152940.078464106,339419.235392317,625337.555926546,1248504.80801335
68199.7262103511,153657.756260434,195628.928213689,378758.363939896,742603.572621033
68311.4190317197,154362.439065108,372368.143572621,685974.053422369,1317836.61101837
68204.5575959925,153000.150250418,318931.803005006,609251.853088483,1089865.2754591
68252.704507513,153249.901502501,189501.260434058,366443.739565946,675037.868113533
68318.6377295488,153552.33388982,177266.657762941,343001.789649419,646357.222036719
68357.6828046739,153197.552587643,222827.295492485,424264.133555919,800647.141903162
68343.4257095177,152954.063439067,266016.841402341,494680.43739567,954126.130217046
68248.2387312185,156967.020033389,378431.552587647,693217.220367275,1292451.70283806
68192.5876460765,153494.096828047,379093.495826378,694102.671118528,1374711.17863105
68316.4006677791,152852.494156927,378185.133555923,691777.056761272,1350422.50417362
68250.4841402341,153322.373956595,378240.273789648,692382.260434054,1384231.23205343
63321.9983305512,142160.450751252,344052.232053421,632144.457429051,1248337.68614356
